Mouse ID,V1 Start,V1 End,CA1 Start,CA1 End,DG Start,DG End
1212,1100,2350,200,650,0,200
1206,1880,2800,1160,1760,400,1160
1201,2500,3500,1800,2400,1400,1800
1106,2000,2500,,,,
1105,1800,2700,,,,
