animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,41.66,35.53,51.76,56.37,89.0,87.66,0.36,0.47
1,DMS-DLS,intermediate->expert,20,44.36,41.93,40.51,42.69,85.28,87.82,0.36,0.29
1,DMS-DLS,naive->expert,20,47.29,42.67,50.22,56.71,89.32,89.2,0.3,0.47
1,DMS-ACC,naive->intermediate,20,54.32,69.39,52.58,42.11,87.05,89.66,0.36,0.29
1,DMS-ACC,intermediate->expert,20,40.99,20.95,50.87,24.77,78.78,86.91,0.36,0.29
1,DMS-ACC,naive->expert,20,71.16,66.09,55.44,45.55,89.38,82.6,0.3,0.29
1,DLS-ACC,naive->intermediate,20,81.91,87.5,83.75,81.71,89.7,74.67,0.47,0.29
1,DLS-ACC,intermediate->expert,20,87.25,89.32,83.99,82.28,85.06,84.82,0.29,0.29
1,DLS-ACC,naive->expert,20,82.96,84.9,88.32,89.42,84.86,85.57,0.47,0.29
2,DMS-DLS,naive->intermediate,20,78.0,85.83,70.92,57.8,87.94,88.75,0.29,0.36
2,DMS-DLS,intermediate->expert,20,47.77,60.31,71.51,70.89,68.1,81.77,0.5,0.43
2,DMS-DLS,naive->expert,20,85.36,70.86,84.02,76.21,86.03,88.46,0.33,0.43
2,DMS-ACC,naive->intermediate,20,74.73,82.35,82.73,55.89,85.4,88.37,0.29,0.39
2,DMS-ACC,intermediate->expert,20,46.35,40.89,87.06,72.37,69.84,85.38,0.5,0.52
2,DMS-ACC,naive->expert,20,76.49,77.89,81.48,73.26,88.94,79.17,0.33,0.23
2,DLS-ACC,naive->intermediate,20,64.68,88.9,73.36,70.47,85.07,89.67,0.36,0.39
2,DLS-ACC,intermediate->expert,20,75.19,71.41,78.43,78.97,88.74,78.79,0.43,0.52
2,DLS-ACC,naive->expert,20,83.61,73.75,84.32,80.77,89.29,84.89,0.43,0.23
4,DMS-DLS,naive->intermediate,16,38.38,80.53,71.13,87.44,86.57,85.51,0.33,0.05
4,DMS-DLS,intermediate->expert,16,55.0,78.37,77.11,88.91,89.45,87.85,0.33,0.27
4,DMS-DLS,naive->expert,16,67.13,84.66,77.98,87.77,89.22,85.5,0.33,0.0
4,DMS-ACC,naive->intermediate,16,60.8,89.44,72.47,81.03,80.99,89.72,0.33,0.08
4,DMS-ACC,intermediate->expert,16,70.23,81.8,83.9,83.01,72.43,83.61,0.33,0.33
4,DMS-ACC,naive->expert,16,86.57,40.32,69.11,87.35,84.96,81.02,0.33,0.08
4,DLS-ACC,naive->intermediate,20,72.44,60.68,53.15,54.04,84.72,88.08,0.05,0.17
4,DLS-ACC,intermediate->expert,20,36.6,31.68,46.07,52.46,86.29,89.66,0.4,0.22
4,DLS-ACC,naive->expert,20,77.07,63.47,56.48,53.73,87.43,89.83,0.0,0.12
5,DMS-DLS,naive->intermediate,20,64.91,76.3,64.59,68.3,87.97,84.56,0.12,0.15
5,DMS-DLS,intermediate->expert,20,50.57,46.07,51.14,52.64,89.67,85.78,0.22,0.28
5,DMS-DLS,naive->expert,20,75.56,76.26,60.44,62.23,83.98,87.58,0.12,0.07
5,DMS-ACC,naive->intermediate,20,83.33,85.37,58.52,59.4,83.15,86.68,0.12,0.16
5,DMS-ACC,intermediate->expert,20,55.48,62.73,50.6,46.31,76.59,76.59,0.22,0.21
5,DMS-ACC,naive->expert,20,79.15,87.95,54.35,53.72,85.94,76.09,0.12,0.16
5,DLS-ACC,naive->intermediate,20,66.69,68.21,51.53,59.07,80.85,83.19,0.15,0.16
5,DLS-ACC,intermediate->expert,20,47.15,61.98,37.82,40.54,86.55,81.58,0.28,0.21
5,DLS-ACC,naive->expert,20,60.84,73.92,52.18,53.8,87.61,75.09,0.07,0.16
6,DMS-ACC,naive->intermediate,5,35.21,81.21,25.07,26.36,59.29,65.25,0.0,0.0
6,DMS-ACC,intermediate->expert,5,49.32,72.99,57.47,21.39,46.67,88.65,1.0,0.33
6,DMS-ACC,naive->expert,5,75.85,71.11,54.14,29.42,47.89,74.36,0.0,0.33
7,DMS-ACC,naive->intermediate,13,40.63,48.77,44.37,47.9,73.45,88.06,1.0,0.19
7,DMS-ACC,intermediate->expert,13,49.66,49.39,62.11,69.09,67.42,87.43,0.14,0.28
7,DMS-ACC,naive->expert,13,31.45,64.3,52.73,59.53,80.21,87.16,0.14,0.0
9,DMS-ACC,naive->intermediate,20,87.52,79.87,75.34,74.76,88.65,73.09,0.17,0.2
9,DMS-ACC,intermediate->expert,20,87.62,89.75,78.19,81.4,74.89,75.11,0.27,0.29
9,DMS-ACC,naive->expert,20,64.23,86.69,82.04,73.33,78.3,87.91,0.17,0.12
9,V1-DMS,naive->intermediate,20,84.42,87.93,82.14,85.78,86.86,88.64,0.2,0.17
9,V1-DMS,intermediate->expert,20,84.46,87.6,87.2,68.05,88.13,89.08,0.2,0.27
9,V1-DMS,naive->expert,20,82.21,89.71,84.61,70.94,89.18,88.63,0.09,0.17
9,V1-ACC,naive->intermediate,20,83.16,62.32,64.16,71.18,74.89,79.06,0.2,0.2
9,V1-ACC,intermediate->expert,20,49.39,63.07,82.87,80.48,64.6,65.51,0.2,0.29
9,V1-ACC,naive->expert,20,66.52,81.25,58.35,61.91,86.28,88.88,0.09,0.12
10,DMS-DLS,naive->intermediate,20,23.49,30.67,45.03,39.61,82.96,38.23,0.43,0.11
10,DMS-DLS,intermediate->expert,20,60.26,24.32,59.36,23.83,52.74,67.18,0.67,0.43
10,DMS-DLS,naive->expert,20,53.08,42.74,51.67,37.93,81.91,72.6,0.25,0.0
10,DMS-ACC,naive->intermediate,16,76.54,50.19,47.51,41.41,77.72,83.48,0.43,0.0
10,DMS-ACC,intermediate->expert,16,31.66,20.21,44.32,22.31,69.41,50.44,0.43,0.6
10,DMS-ACC,naive->expert,16,74.88,43.26,71.23,33.7,80.68,86.5,0.43,0.0
10,DLS-ACC,naive->intermediate,16,79.73,87.43,48.39,53.58,83.15,66.03,0.11,0.0
10,DLS-ACC,intermediate->expert,16,31.2,17.09,25.47,30.94,79.16,86.66,0.67,0.6
10,DLS-ACC,naive->expert,16,86.92,89.11,55.34,53.28,82.1,78.63,0.11,0.0
10,V1-DMS,naive->intermediate,7,66.78,77.4,55.55,57.32,44.62,81.32,0.33,0.67
10,V1-DMS,intermediate->expert,7,21.58,38.31,35.76,66.81,40.56,82.39,1.0,0.43
10,V1-DMS,naive->expert,7,78.62,82.02,51.14,64.36,60.05,79.87,0.33,0.43
10,V1-DLS,naive->intermediate,7,73.85,68.96,38.6,67.12,81.59,81.23,0.33,0.11
10,V1-DLS,intermediate->expert,7,17.27,55.43,26.2,56.57,43.83,77.01,1.0,0.43
10,V1-DLS,naive->expert,7,89.68,84.47,44.43,66.64,45.99,75.15,0.33,0.25
10,V1-ACC,naive->intermediate,7,89.42,68.0,56.39,72.54,72.43,87.3,0.33,0.0
10,V1-ACC,intermediate->expert,7,16.16,46.48,68.58,75.2,77.33,76.27,1.0,0.6
10,V1-ACC,naive->expert,7,82.98,89.52,71.2,84.77,69.64,84.87,0.33,0.0
11,DMS-DLS,naive->intermediate,5,72.89,76.37,86.48,76.66,88.04,78.7,0.11,0.33
11,DMS-DLS,intermediate->expert,5,87.81,62.75,81.69,75.42,85.73,89.9,0.25,1.0
11,DMS-DLS,naive->expert,5,87.15,19.73,78.31,81.8,88.98,60.04,0.25,0.33
11,DMS-ACC,naive->intermediate,20,86.41,88.84,89.06,89.02,76.35,86.84,0.11,0.1
11,DMS-ACC,intermediate->expert,20,27.01,85.12,88.36,85.96,87.76,87.76,0.25,0.36
11,DMS-ACC,naive->expert,20,86.88,88.09,88.97,85.89,86.07,87.74,0.11,0.13
11,DLS-ACC,naive->intermediate,5,58.44,88.14,44.05,64.58,79.04,89.79,0.33,0.1
11,DLS-ACC,intermediate->expert,5,69.88,87.89,32.69,68.43,88.33,89.63,1.0,0.42
11,DLS-ACC,naive->expert,5,70.96,69.92,73.89,82.11,77.06,89.35,0.33,0.1
11,V1-DMS,naive->intermediate,20,83.47,89.5,55.77,76.69,87.77,87.45,0.17,0.11
11,V1-DMS,intermediate->expert,20,60.68,72.28,72.6,52.73,88.1,80.99,0.42,0.25
11,V1-DMS,naive->expert,20,71.12,67.4,66.48,54.55,86.78,75.01,0.13,0.11
11,V1-DLS,naive->intermediate,5,84.31,72.05,77.57,58.21,87.97,86.34,0.21,0.33
11,V1-DLS,intermediate->expert,5,75.65,58.99,85.68,42.44,78.99,72.78,0.26,1.0
11,V1-DLS,naive->expert,5,84.05,78.65,78.11,49.78,86.75,85.23,0.03,0.33
11,V1-ACC,naive->intermediate,20,80.59,89.76,58.12,72.83,87.2,87.4,0.17,0.1
11,V1-ACC,intermediate->expert,20,59.92,73.26,73.43,75.66,89.65,83.43,0.42,0.36
11,V1-ACC,naive->expert,20,89.11,88.24,74.69,75.49,89.53,86.82,0.13,0.13
11,CA1-DMS,naive->intermediate,20,65.15,80.17,75.42,67.08,89.44,83.25,0.08,0.11
11,CA1-DMS,intermediate->expert,20,85.27,89.96,85.39,79.53,75.58,78.81,0.27,0.25
11,CA1-DMS,naive->expert,20,74.27,80.69,74.43,68.8,82.25,84.77,0.17,0.11
11,CA1-DLS,naive->intermediate,5,89.13,60.53,89.7,72.47,85.9,31.84,0.17,0.33
11,CA1-DLS,intermediate->expert,5,33.07,16.07,88.56,88.76,76.47,74.26,0.17,1.0
11,CA1-DLS,naive->expert,5,89.44,52.2,88.48,73.55,88.66,86.3,0.17,0.33
11,CA1-ACC,naive->intermediate,20,88.44,87.89,75.27,74.56,83.33,89.42,0.08,0.1
11,CA1-ACC,intermediate->expert,20,59.38,65.75,56.96,59.51,88.95,85.86,0.27,0.36
11,CA1-ACC,naive->expert,20,84.55,86.65,63.77,71.8,82.63,87.79,0.17,0.13
