animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,47.32,38.62,48.41,49.72,89.21,85.01,0.36,0.38
1,DMS-DLS,intermediate->expert,20,48.56,43.86,62.79,67.49,89.17,83.27,0.58,0.29
1,DMS-DLS,naive->expert,20,55.75,50.03,70.42,68.63,88.32,88.06,0.3,0.47
1,DMS-ACC,naive->intermediate,20,59.29,71.57,61.54,47.78,80.42,88.32,0.36,0.12
1,DMS-ACC,intermediate->expert,20,36.35,21.15,51.07,33.99,87.88,85.1,0.58,0.2
1,DMS-ACC,naive->expert,20,71.67,70.56,52.28,53.59,89.2,89.13,0.3,0.2
1,DLS-ACC,naive->intermediate,20,89.09,74.06,86.7,81.47,87.71,82.85,0.38,0.12
1,DLS-ACC,intermediate->expert,20,81.75,89.38,89.78,86.76,89.8,79.94,0.22,0.29
1,DLS-ACC,naive->expert,20,80.21,83.22,86.84,84.39,89.68,89.98,0.38,0.2
2,DMS-DLS,naive->intermediate,20,68.5,87.15,70.33,63.17,86.73,81.55,0.33,0.36
2,DMS-DLS,intermediate->expert,20,46.9,58.29,70.72,75.77,67.98,74.81,0.5,0.43
2,DMS-DLS,naive->expert,20,87.14,68.8,81.74,71.39,85.51,84.61,0.38,0.36
2,DMS-ACC,naive->intermediate,20,64.99,73.93,68.67,62.99,86.71,75.77,0.33,0.39
2,DMS-ACC,intermediate->expert,20,46.37,48.27,81.03,82.95,55.64,85.15,0.5,0.52
2,DMS-ACC,naive->expert,20,68.95,64.99,65.33,61.12,89.85,80.35,0.38,0.23
2,DLS-ACC,naive->intermediate,20,66.54,72.56,82.5,84.68,86.87,85.74,0.36,0.39
2,DLS-ACC,intermediate->expert,20,88.89,82.0,88.76,86.07,87.04,82.6,0.36,0.52
2,DLS-ACC,naive->expert,20,86.24,83.34,81.61,82.57,80.85,87.33,0.3,0.23
4,DMS-DLS,naive->intermediate,16,42.37,85.27,85.48,80.03,87.33,87.18,0.14,0.08
4,DMS-DLS,intermediate->expert,16,33.83,67.86,86.69,80.5,85.17,80.14,0.33,0.31
4,DMS-DLS,naive->expert,16,50.25,89.24,85.6,82.15,85.37,88.57,0.33,0.02
