animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,5196,57,42,34,20,0.1725,0,0.0,0.0616,10,0.4615,0.4454,0.3469,0.3645,61.85,69.24
1,learner,22,DMS-DLS,intermediate,4620,57,42,34,20,0.4485,1,0.1123,0.0347,0,0.494,0.4096,0.3196,0.3734,42.24,46.5
1,learner,22,DMS-DLS,expert,4141,57,42,34,20,0.3287,2,0.0933,0.0258,0,0.4767,0.4495,0.2818,0.3239,41.11,39.88
1,learner,22,DMS-ACC,naive,5196,57,34,42,20,0.4163,1,0.0952,0.0598,0,0.4608,0.4479,0.5764,0.5988,62.99,71.97
1,learner,22,DMS-ACC,intermediate,4620,57,34,42,20,0.2763,1,0.0397,0.0618,0,0.4931,0.4374,0.3543,0.4614,47.34,20.8
1,learner,22,DMS-ACC,expert,4141,57,34,42,20,0.4643,1,0.1214,-0.0305,0,0.4763,0.3866,0.2998,0.3525,53.57,26.88
1,learner,22,DLS-ACC,naive,5196,42,34,57,20,0.1651,0,0.0,0.1223,6,0.4458,0.4689,0.4979,0.5463,83.81,88.46
1,learner,22,DLS-ACC,intermediate,4620,42,34,57,20,-0.0192,0,0.0,0.0313,5,0.4109,0.4324,0.2972,0.3549,75.28,79.21
1,learner,22,DLS-ACC,expert,4141,42,34,57,20,0.1141,0,0.0,-0.0269,-7,0.4461,0.3725,0.4079,0.427,88.96,89.9
2,learner,44,DMS-DLS,naive,3990,69,60,64,20,0.0848,0,0.0,0.0495,-7,0.6876,0.576,0.5023,0.379,83.1,64.34
2,learner,44,DMS-DLS,intermediate,3258,69,60,64,20,0.1718,0,0.0,-0.0103,-2,0.6716,0.4852,0.464,0.3068,69.89,59.18
2,learner,44,DMS-DLS,expert,3056,69,60,64,20,0.1199,0,0.0,0.0089,5,0.6232,0.5313,0.424,0.3786,81.54,88.3
2,learner,44,DMS-ACC,naive,3990,69,64,60,20,-0.1698,11,0.4521,0.0699,0,0.6744,0.6871,0.4484,0.5315,77.99,56.24
2,learner,44,DMS-ACC,intermediate,3258,69,64,60,20,-0.1121,2,0.0708,-0.0276,0,0.67,0.6435,0.4594,0.4498,88.62,54.51
2,learner,44,DMS-ACC,expert,3056,69,64,60,20,0.1622,0,0.0,0.0152,0,0.6237,0.5899,0.4044,0.4416,89.9,82.24
2,learner,44,DLS-ACC,naive,3990,60,64,69,20,0.0064,0,0.0,0.198,6,0.5758,0.6896,0.2892,0.4408,80.58,88.46
2,learner,44,DLS-ACC,intermediate,3258,60,64,69,20,0.0607,0,0.0,-0.0141,9,0.486,0.6421,0.2491,0.4186,87.53,79.94
2,learner,44,DLS-ACC,expert,3056,60,64,69,20,0.0212,0,0.0,-0.0349,-4,0.5346,0.5908,0.3303,0.4113,88.88,88.68
4,learner,53,DMS-DLS,naive,5652,16,83,53,16,0.1844,1,0.0173,-0.049,1,0.4588,0.5323,0.3824,0.3626,77.01,89.14
4,learner,53,DMS-DLS,intermediate,3786,16,83,53,16,0.1557,0,0.0,-0.193,-6,0.5511,0.4025,0.4975,0.2736,86.52,89.06
4,learner,53,DMS-DLS,expert,4054,16,83,53,16,0.0092,0,0.0,0.0409,10,0.4706,0.3641,0.4339,0.3187,85.34,85.92
4,learner,53,DMS-ACC,naive,5652,16,53,83,16,-0.0337,0,0.0,0.0505,0,0.4547,0.42,0.3303,0.2739,77.36,83.44
