animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,67.15,60.04,60.12,50.17,86.6,87.33,0.33,0.33
1,DMS-DLS,intermediate->expert,20,87.65,78.51,70.58,66.71,89.14,80.32,0.47,0.33
1,DMS-DLS,naive->expert,20,86.46,85.05,78.36,73.21,88.61,89.03,0.27,0.33
1,DMS-ACC,naive->intermediate,20,59.37,71.71,61.44,47.87,83.97,88.3,0.33,0.12
1,DMS-ACC,intermediate->expert,20,36.44,21.65,50.98,33.85,87.79,85.53,0.47,0.2
1,DMS-ACC,naive->expert,20,71.85,70.65,51.69,53.55,87.4,89.62,0.27,0.2
1,DLS-ACC,naive->intermediate,20,72.79,65.5,84.97,80.71,78.85,86.77,0.33,0.12
1,DLS-ACC,intermediate->expert,20,88.22,85.38,87.92,88.11,85.34,86.36,0.33,0.29
1,DLS-ACC,naive->expert,20,83.7,85.5,86.81,82.11,87.66,87.88,0.33,0.2
2,DMS-DLS,naive->intermediate,20,63.22,87.8,66.08,72.72,88.43,84.23,0.31,0.36
2,DMS-DLS,intermediate->expert,20,58.76,57.99,69.09,78.39,65.55,72.75,0.42,0.36
2,DMS-DLS,naive->expert,20,85.7,71.47,81.54,68.73,84.14,85.22,0.31,0.3
2,DMS-ACC,naive->intermediate,20,82.69,85.28,71.65,64.73,84.45,84.78,0.31,0.33
2,DMS-ACC,intermediate->expert,20,70.4,86.28,81.84,88.31,86.19,89.0,0.42,0.27
2,DMS-ACC,naive->expert,20,80.09,79.2,68.18,63.08,80.46,86.9,0.26,0.22
2,DLS-ACC,naive->intermediate,20,82.82,86.34,87.87,79.95,89.81,89.47,0.36,0.33
2,DLS-ACC,intermediate->expert,20,85.92,83.58,88.38,83.87,83.18,83.87,0.36,0.33
2,DLS-ACC,naive->expert,20,81.68,77.1,88.84,80.67,84.83,85.02,0.3,0.22
4,DMS-DLS,naive->intermediate,16,32.65,83.5,88.34,81.65,81.23,88.42,0.14,0.06
4,DMS-DLS,intermediate->expert,16,31.79,71.6,86.21,83.82,85.07,80.3,0.33,0.23
4,DMS-DLS,naive->expert,16,47.95,83.75,86.17,86.95,87.12,87.64,0.33,0.0
4,DMS-ACC,naive->intermediate,16,89.7,86.22,84.25,84.42,89.19,84.61,0.14,0.18
4,DMS-ACC,intermediate->expert,16,58.23,76.58,87.15,85.05,89.79,85.95,0.33,0.3
4,DMS-ACC,naive->expert,16,88.94,79.23,86.97,85.49,84.33,87.85,0.33,0.18
4,DLS-ACC,naive->intermediate,20,81.19,68.44,71.78,68.11,86.71,86.89,0.0,0.3
4,DLS-ACC,intermediate->expert,20,55.8,62.08,66.54,67.1,88.91,73.62,0.27,0.3
4,DLS-ACC,naive->expert,20,89.06,89.53,77.26,74.25,86.67,82.92,0.03,0.18
