animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,5196,56,38,34,20,0.1479,0,0.0,0.0862,10,0.4569,0.4185,0.3621,0.3682,71.95,59.65
1,learner,22,DMS-DLS,intermediate,4620,56,38,34,20,0.3985,1,0.0865,0.0194,9,0.4876,0.4143,0.329,0.3579,65.79,68.16
1,learner,22,DMS-DLS,expert,4141,56,38,34,20,0.0983,0,0.0,-0.0154,-3,0.4722,0.4379,0.3083,0.3286,76.85,81.86
1,learner,22,DMS-ACC,naive,5196,56,34,38,20,0.3762,1,0.0763,0.0532,0,0.461,0.448,0.5802,0.6004,62.51,71.96
1,learner,22,DMS-ACC,intermediate,4620,56,34,38,20,0.2795,1,0.0407,0.0458,0,0.4868,0.4373,0.3567,0.463,47.72,21.68
1,learner,22,DMS-ACC,expert,4141,56,34,38,20,0.463,1,0.1206,-0.0406,0,0.471,0.3865,0.3047,0.3606,52.07,27.27
1,learner,22,DLS-ACC,naive,5196,38,34,56,20,0.1447,0,0.0,0.1429,6,0.4172,0.4676,0.5325,0.5815,83.21,89.45
1,learner,22,DLS-ACC,intermediate,4620,38,34,56,20,-0.0315,0,0.0,0.043,5,0.4069,0.4325,0.3285,0.4142,65.23,85.12
1,learner,22,DLS-ACC,expert,4141,38,34,56,20,0.2007,0,0.0,-0.0101,0,0.4303,0.3722,0.4348,0.4828,89.71,89.68
2,learner,44,DMS-DLS,naive,3990,65,59,54,20,0.0967,0,0.0,0.0515,-7,0.6746,0.5808,0.505,0.3925,83.71,64.91
2,learner,44,DMS-DLS,intermediate,3258,65,59,54,20,0.0772,0,0.0,-0.0072,6,0.6597,0.4948,0.4682,0.3025,79.52,84.89
2,learner,44,DMS-DLS,expert,3056,65,59,54,20,0.0922,0,0.0,-0.0093,-10,0.6293,0.5293,0.4374,0.3943,86.69,81.88
2,learner,44,DMS-ACC,naive,3990,65,54,59,20,-0.1346,10,0.8648,0.0514,0,0.6658,0.6685,0.4538,0.5987,81.04,69.83
2,learner,44,DMS-ACC,intermediate,3258,65,54,59,20,0.2342,2,0.0674,0.0587,1,0.6586,0.646,0.5473,0.5598,82.02,81.79
2,learner,44,DMS-ACC,expert,3056,65,54,59,20,0.0975,0,0.0,0.0207,1,0.6292,0.6058,0.4323,0.5027,78.63,84.54
2,learner,44,DLS-ACC,naive,3990,59,54,65,20,-0.0088,0,0.0,0.1574,6,0.5794,0.6618,0.3165,0.5217,83.5,76.98
2,learner,44,DLS-ACC,intermediate,3258,59,54,65,20,0.017,0,0.0,-0.0264,9,0.4933,0.6474,0.2818,0.4651,81.52,79.09
2,learner,44,DLS-ACC,expert,3056,59,54,65,20,0.0399,0,0.0,-0.0236,0,0.5327,0.6017,0.3658,0.4733,88.77,88.05
4,learner,53,DMS-DLS,naive,5652,16,76,51,16,0.1805,1,0.0166,-0.0354,1,0.4589,0.5292,0.4054,0.3761,81.83,82.19
4,learner,53,DMS-DLS,intermediate,3786,16,76,51,16,0.1516,0,0.0,-0.198,-6,0.5511,0.4051,0.5088,0.2702,87.48,85.39
4,learner,53,DMS-DLS,expert,4054,16,76,51,16,0.0181,0,0.0,0.0354,10,0.4707,0.369,0.4566,0.3303,84.79,88.46
4,learner,53,DMS-ACC,naive,5652,16,51,76,16,-0.184,0,0.0,0.0428,0,0.4547,0.4286,0.3464,0.2719,76.14,86.24
4,learner,53,DMS-ACC,intermediate,3786,16,51,76,16,-0.293,2,0.0815,0.0587,1,0.8028,0.385,0.5236,0.6419,50.2,77.24
4,learner,53,DMS-ACC,expert,4054,16,51,76,16,0.0743,1,0.0233,0.0059,-1,0.4718,0.3382,0.4294,0.2811,89.55,89.3
4,learner,53,DLS-ACC,naive,5652,76,51,16,20,0.3623,4,0.1443,0.0354,0,0.5357,0.4013,0.2248,0.2015,65.57,59.57
4,learner,53,DLS-ACC,intermediate,3786,76,51,16,20,0.2705,1,0.038,-0.0135,-10,0.4054,0.3818,0.2158,0.2264,50.62,54.19
4,learner,53,DLS-ACC,expert,4054,76,51,16,20,0.1691,0,0.0,-0.0335,-4,0.3913,0.3255,0.201,0.2172,84.65,89.47
5,learner,54,DMS-DLS,naive,4340,55,226,162,20,0.4229,1,0.0985,-0.0067,0,0.4895,0.5776,0.2237,0.3215,76.3,72.63
5,learner,54,DMS-DLS,intermediate,3837,55,226,162,20,0.3759,4,0.7577,-0.0762,0,0.4722,0.4897,0.2856,0.3054,57.98,60.33
5,learner,54,DMS-DLS,expert,3918,55,226,162,20,0.2617,5,0.3926,-0.0657,0,0.5264,0.5103,0.3395,0.3664,46.13,54.33
5,learner,54,DMS-ACC,intermediate,3837,55,162,226,20,0.601,8,0.6941,0.0736,0,0.4627,0.5269,0.455,0.3691,80.91,84.08
5,learner,54,DMS-ACC,expert,3918,55,162,226,20,0.1544,9,0.7949,0.0483,6,0.5288,0.5033,0.238,0.1721,75.05,77.7
5,learner,54,DLS-ACC,naive,4340,226,162,55,20,0.5727,4,0.3897,0.0105,2,0.5807,0.5497,0.1998,0.1354,57.57,70.38
5,learner,54,DLS-ACC,intermediate,3837,226,162,55,20,0.3498,3,0.5051,-0.0147,0,0.4885,0.5207,0.1804,0.1663,38.74,52.14
5,learner,54,DLS-ACC,expert,3918,226,162,55,20,0.6,4,0.8926,-0.0415,0,0.5115,0.5001,0.1917,0.1448,47.27,48.67
7,learner,33,DMS-ACC,naive,6651,13,56,0,13,0.115,0,0.0,-0.0977,-1,0.4379,0.5116,0.1882,0.2606,49.06,58.27
7,learner,33,DMS-ACC,intermediate,6624,13,56,0,13,0.0446,0,0.0,-0.0246,0,0.1611,0.3831,0.1662,0.2031,84.53,76.77
7,learner,33,DMS-ACC,expert,7211,13,56,0,13,0.0907,0,0.0,-0.0121,-2,0.1499,0.4005,0.1184,0.1902,59.29,71.51
9,learner,44,DMS-ACC,naive,3524,26,28,24,20,0.2766,8,0.2046,0.0234,0,0.3749,0.2994,0.2919,0.2376,82.77,87.61
9,learner,44,DMS-ACC,intermediate,3980,26,28,24,20,0.1388,1,0.0255,-0.0328,-10,0.3118,0.2514,0.1328,0.1769,79.39,70.59
9,learner,44,DMS-ACC,expert,4297,26,28,24,20,0.4138,8,0.3096,-0.0389,-2,0.3103,0.2512,0.178,0.1547,83.87,86.66
9,learner,44,V1-DMS,naive,3524,24,26,28,20,0.0645,0,0.0,-0.0838,-5,0.18,0.3732,0.1604,0.2316,71.91,88.67
9,learner,44,V1-DMS,intermediate,3980,24,26,28,20,0.0307,0,0.0,0.1043,8,0.1896,0.3115,0.2335,0.2227,85.51,83.73
9,learner,44,V1-DMS,expert,4297,24,26,28,20,-0.001,0,0.0,0.0686,1,0.1928,0.3037,0.3282,0.2976,89.71,48.48
9,learner,44,V1-ACC,naive,3524,24,28,26,20,0.1596,0,0.0,0.0084,0,0.1839,0.2987,0.1673,0.1584,53.11,51.28
9,learner,44,V1-ACC,intermediate,3980,24,28,26,20,0.2274,1,0.0266,-0.0769,-4,0.1883,0.2523,0.1849,0.1555,71.15,84.11
9,learner,44,V1-ACC,expert,4297,24,28,26,20,0.1223,1,0.0385,-0.0185,3,0.1905,0.2469,0.1759,0.1259,71.5,79.39
10,learner,67,DMS-DLS,naive,3128,19,17,15,17,0.6801,2,0.3845,-0.0601,0,0.4285,0.1658,0.272,0.4177,51.12,51.08
10,learner,67,DMS-DLS,intermediate,3052,19,17,15,17,0.5155,2,0.4833,0.0476,0,0.4901,0.1692,0.3536,0.5086,49.8,30.24
10,learner,67,DMS-DLS,expert,3337,19,17,15,17,0.7952,3,0.8811,0.0278,0,0.4795,0.2906,0.3619,0.5533,75.68,53.43
10,learner,67,DMS-ACC,naive,3128,19,8,24,8,0.259,1,0.0347,0.0575,0,0.3766,0.8412,0.3196,0.412,61.52,0.14
10,learner,67,DMS-ACC,intermediate,3052,19,8,24,8,0.3962,3,0.128,-0.0116,0,0.8602,0.961,0.5302,0.6273,0.0,0.0
10,learner,67,DMS-ACC,expert,3337,19,8,24,8,0.2505,1,0.0324,-0.1114,0,0.456,0.5758,0.4058,0.5546,81.38,88.53
10,learner,67,DLS-ACC,naive,3128,17,8,26,8,0.2512,1,0.0326,-0.1247,0,0.2835,0.8393,0.3324,0.3436,82.51,1.49
10,learner,67,DLS-ACC,intermediate,3052,17,8,26,8,0.0782,0,0.0,0.0597,10,0.2533,0.4029,0.2777,0.3057,89.07,60.09
10,learner,67,DLS-ACC,expert,3337,17,8,26,8,0.7998,1,0.5103,0.2652,0,0.8746,0.9656,0.5946,0.6273,0.0,0.0
10,learner,67,V1-DMS,naive,3128,7,19,25,7,0.0357,0,0.0,0.0394,4,0.0222,0.3984,0.1173,0.1739,68.15,62.38
10,learner,67,V1-DMS,intermediate,3052,7,19,25,7,-0.3513,2,0.1663,0.0331,2,0.0842,0.4307,0.1937,0.2716,75.64,50.43
10,learner,67,V1-DMS,expert,3337,7,19,25,7,-0.073,2,0.0374,0.0681,7,0.109,0.4452,0.1347,0.2747,70.82,87.93
10,learner,67,V1-DLS,naive,3128,7,17,27,7,-0.0017,0,0.0,-0.0252,-5,0.0221,0.2349,0.1366,0.1197,82.7,62.73
10,learner,67,V1-DLS,intermediate,3052,7,17,27,7,-0.0678,2,0.0351,-0.0061,-10,0.0843,0.2405,0.148,0.2448,24.5,88.79
10,learner,67,V1-DLS,expert,3337,7,17,27,7,0.215,2,0.0418,0.0189,-4,0.1092,0.3006,0.1611,0.289,75.56,88.26
10,learner,67,V1-ACC,naive,3128,7,8,36,7,0.11,0,0.0,-0.021,0,0.0229,0.837,0.2918,0.3,44.69,0.28
10,learner,67,V1-ACC,intermediate,3052,7,8,36,7,-0.1702,3,0.0345,0.0121,5,0.085,0.404,0.2222,0.2825,76.93,84.55
10,learner,67,V1-ACC,expert,3337,7,8,36,7,0.0471,2,0.0238,0.0092,7,0.1103,0.5743,0.2187,0.2682,64.01,57.06
11,learner,84,DMS-DLS,naive,5331,20,5,163,5,0.1298,0,0.0,0.0822,3,0.357,0.4207,0.3901,0.3809,87.86,64.17
11,learner,84,DMS-DLS,intermediate,3929,20,5,163,5,0.1904,1,0.0185,-0.0976,-8,0.507,0.6769,0.4619,0.6044,83.96,73.68
11,learner,84,DMS-DLS,expert,4243,20,5,163,5,0.0195,0,0.0,-0.0786,-9,0.4118,0.5273,0.4152,0.1655,71.48,78.01
11,learner,84,DMS-ACC,naive,5331,20,62,106,20,0.1662,1,0.0451,0.0237,7,0.3297,0.543,0.2698,0.2654,89.19,85.53
11,learner,84,DMS-ACC,intermediate,3929,20,62,106,20,0.3233,1,0.0552,0.0781,0,0.405,0.5009,0.2649,0.2905,62.56,72.37
11,learner,84,DMS-ACC,expert,4243,20,62,106,20,0.1498,0,0.0,-0.0111,0,0.303,0.4809,0.3813,0.3664,31.27,57.5
11,learner,84,DLS-ACC,naive,5331,5,62,121,5,0.1604,2,0.0317,0.1463,1,0.4272,0.5696,0.3337,0.399,59.11,86.78
11,learner,84,DLS-ACC,intermediate,3929,5,62,121,5,-0.0882,2,0.1338,-0.0393,0,0.6844,0.5463,0.4084,0.3712,14.61,58.51
11,learner,84,DLS-ACC,expert,4243,5,62,121,5,0.0855,0,0.0,-0.0139,-1,0.5288,0.5026,0.1634,0.3304,64.86,89.53
11,learner,84,V1-DMS,naive,5331,67,20,101,20,0.0009,0,0.0,-0.0334,0,0.5945,0.3359,0.2264,0.194,52.41,85.48
11,learner,84,V1-DMS,intermediate,3929,67,20,101,20,0.0833,0,0.0,-0.0352,0,0.414,0.4017,0.225,0.1696,66.85,81.52
11,learner,84,V1-DMS,expert,4243,67,20,101,20,0.0084,0,0.0,-0.0121,0,0.4613,0.2939,0.2454,0.209,83.66,36.62
11,learner,84,V1-DLS,naive,5331,67,5,116,5,-0.1664,0,0.0,0.0148,4,0.6191,0.4183,0.3355,0.1028,82.94,57.36
11,learner,84,V1-DLS,intermediate,3929,67,5,116,5,-0.0459,2,0.1542,-0.0519,3,0.4721,0.6835,0.268,0.2879,88.16,53.76
11,learner,84,V1-DLS,expert,4243,67,5,116,5,0.283,2,0.0941,-0.0585,0,0.4684,0.4891,0.4209,0.4984,87.34,67.01
11,learner,84,V1-ACC,naive,5331,67,62,59,20,0.1071,0,0.0,0.0086,0,0.5936,0.5427,0.169,0.1422,63.95,78.59
11,learner,84,V1-ACC,intermediate,3929,67,62,59,20,0.1907,7,0.3194,0.0537,10,0.4111,0.5014,0.1551,0.161,57.84,66.44
