animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
10,DMS-ACC,intermediate->expert,8,89.91,47.42,41.5,44.5,89.24,50.28,0.43,0.33
10,DMS-ACC,naive->expert,8,81.98,59.23,78.45,44.57,88.25,64.75,0.25,0.0
10,DLS-ACC,naive->intermediate,8,89.38,89.31,85.84,31.09,84.22,85.67,0.25,0.0
10,DLS-ACC,intermediate->expert,8,89.21,89.04,44.8,30.43,88.8,83.11,0.25,0.33
10,DLS-ACC,naive->expert,8,87.9,49.23,41.04,0.66,88.42,62.09,0.0,0.33
10,V1-DMS,naive->intermediate,6,47.32,87.3,65.2,63.93,43.77,85.47,0.33,0.67
10,V1-DMS,intermediate->expert,6,28.06,67.12,73.38,73.98,65.47,83.53,0.33,0.43
10,V1-DMS,naive->expert,6,68.24,81.65,72.87,74.84,40.5,87.33,0.33,0.43
10,V1-DLS,naive->intermediate,6,27.77,88.12,47.66,73.33,45.74,89.77,0.33,0.11
10,V1-DLS,intermediate->expert,6,23.26,76.91,49.32,88.1,83.29,89.64,0.33,0.67
10,V1-DLS,naive->expert,6,46.56,80.16,77.0,72.94,89.62,84.63,0.33,0.11
10,V1-ACC,naive->intermediate,6,75.54,89.08,77.52,42.29,84.12,83.6,0.33,0.0
10,V1-ACC,intermediate->expert,6,82.65,88.1,74.24,73.19,88.35,87.18,0.33,1.0
10,V1-ACC,naive->expert,6,87.89,88.38,71.15,31.55,79.92,84.93,0.33,0.0
11,DMS-DLS,naive->intermediate,5,68.06,82.76,85.97,66.24,89.55,79.87,0.11,0.33
11,DMS-DLS,intermediate->expert,5,82.5,15.29,84.73,75.01,85.18,85.14,0.25,1.0
11,DMS-DLS,naive->expert,5,61.92,82.4,86.21,72.7,86.11,65.82,0.25,0.33
11,DMS-ACC,naive->intermediate,20,86.0,88.86,76.59,79.72,84.96,89.86,0.11,0.1
11,DMS-ACC,intermediate->expert,20,26.02,89.03,48.01,65.69,88.53,88.82,0.25,0.39
11,DMS-ACC,naive->expert,20,88.37,87.51,59.88,71.75,86.36,89.52,0.11,0.1
11,DLS-ACC,naive->intermediate,5,35.37,88.01,35.56,68.71,80.74,88.25,0.33,0.1
11,DLS-ACC,intermediate->expert,5,89.33,85.24,44.55,68.27,87.59,86.52,0.33,0.39
11,DLS-ACC,naive->expert,5,59.09,72.94,79.33,87.4,73.78,89.54,0.33,0.1
11,V1-DMS,naive->intermediate,20,79.87,85.15,65.86,79.99,87.51,87.02,0.17,0.11
11,V1-DMS,intermediate->expert,20,71.65,74.0,82.84,49.52,89.22,87.42,0.33,0.25
11,V1-DMS,naive->expert,20,70.12,64.24,70.19,54.75,88.93,73.67,0.22,0.11
11,V1-DLS,naive->intermediate,5,73.14,16.0,82.66,55.79,87.42,73.59,0.27,0.33
11,V1-DLS,intermediate->expert,5,83.77,34.96,73.64,32.45,87.34,66.3,0.17,1.0
11,V1-DLS,naive->expert,5,87.93,33.89,74.84,36.64,88.6,42.25,0.04,0.33
11,V1-ACC,naive->intermediate,20,88.33,87.02,70.48,76.55,86.26,85.38,0.17,0.1
11,V1-ACC,intermediate->expert,20,74.93,84.08,60.37,65.84,79.94,86.22,0.33,0.33
11,V1-ACC,naive->expert,20,85.69,87.01,76.03,76.52,89.05,89.67,0.22,0.1
11,CA1-DMS,naive->intermediate,20,88.68,72.69,81.54,72.56,89.51,79.52,0.09,0.11
11,CA1-DMS,intermediate->expert,20,82.73,83.59,78.05,81.25,71.16,89.66,0.33,0.25
11,CA1-DMS,naive->expert,20,85.31,86.96,82.26,67.16,84.54,86.29,0.0,0.11
11,CA1-DLS,naive->intermediate,5,88.06,64.39,56.94,76.15,80.58,76.17,0.09,0.33
11,CA1-DLS,intermediate->expert,5,85.5,80.27,77.69,74.22,81.28,89.59,0.33,1.0
11,CA1-DLS,naive->expert,5,33.38,79.15,44.82,72.05,84.97,88.51,0.09,0.33
11,CA1-ACC,naive->intermediate,20,89.16,87.94,79.2,67.93,89.91,86.5,0.09,0.1
11,CA1-ACC,intermediate->expert,20,86.1,78.91,80.59,65.54,86.95,88.67,0.33,0.33
11,CA1-ACC,naive->expert,20,88.54,88.89,78.28,87.29,84.05,87.38,0.0,0.1
11,CA1-V1,naive->intermediate,20,59.82,78.71,77.98,84.75,82.35,86.38,0.09,0.17
11,CA1-V1,intermediate->expert,20,73.64,87.93,81.1,85.49,84.51,89.65,0.33,0.33
