animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,61.07,62.9,69.44,63.03,89.27,79.12,0.4,0.33
1,DMS-DLS,intermediate->expert,20,71.14,75.37,76.38,75.35,82.64,89.5,0.4,0.25
1,DMS-DLS,naive->expert,20,77.0,87.34,79.1,72.96,82.61,85.07,0.33,0.25
1,DMS-ACC,naive->intermediate,20,53.97,69.4,51.81,41.95,86.51,89.66,0.4,0.29
1,DMS-ACC,intermediate->expert,20,40.89,20.96,50.47,24.58,78.56,86.88,0.4,0.29
1,DMS-ACC,naive->expert,20,71.11,66.05,54.3,45.24,88.71,82.84,0.33,0.29
1,DLS-ACC,naive->intermediate,20,89.53,85.1,75.16,85.0,88.21,78.14,0.33,0.29
1,DLS-ACC,intermediate->expert,20,89.68,89.96,78.74,85.34,85.63,89.93,0.25,0.29
1,DLS-ACC,naive->expert,20,88.08,89.57,85.75,89.62,85.91,88.77,0.25,0.29
2,DMS-DLS,naive->intermediate,20,77.29,83.95,83.9,73.22,88.43,87.16,0.26,0.3
2,DMS-DLS,intermediate->expert,20,70.29,71.66,81.39,80.39,72.57,88.85,0.42,0.43
2,DMS-DLS,naive->expert,20,72.76,66.08,81.3,71.51,84.52,84.18,0.21,0.43
2,DMS-ACC,naive->intermediate,20,89.85,88.03,83.14,76.82,87.1,85.9,0.26,0.4
2,DMS-ACC,intermediate->expert,20,85.41,83.11,84.42,85.76,75.99,85.88,0.42,0.33
2,DMS-ACC,naive->expert,20,78.46,63.76,82.24,77.77,87.73,83.53,0.21,0.27
2,DLS-ACC,naive->intermediate,20,83.7,70.08,82.55,71.17,87.8,81.72,0.3,0.4
2,DLS-ACC,intermediate->expert,20,77.07,81.57,87.77,80.79,84.67,89.74,0.43,0.33
2,DLS-ACC,naive->expert,20,88.26,86.32,84.73,78.1,84.65,87.54,0.43,0.27
4,DMS-DLS,naive->intermediate,16,31.33,79.62,72.36,83.59,87.43,87.77,0.33,0.09
4,DMS-DLS,intermediate->expert,16,64.21,78.72,79.39,86.92,83.84,87.07,0.33,0.31
4,DMS-DLS,naive->expert,16,72.59,83.19,80.69,83.83,84.78,87.1,0.33,0.03
4,DMS-ACC,naive->intermediate,16,60.01,88.96,75.04,79.56,88.34,86.4,0.33,0.08
4,DMS-ACC,intermediate->expert,16,68.38,82.18,84.29,82.14,76.1,87.97,0.33,0.24
4,DMS-ACC,naive->expert,16,89.59,38.05,71.88,86.98,89.2,83.85,0.33,0.13
4,DLS-ACC,naive->intermediate,20,80.18,65.43,60.94,61.92,85.6,85.72,0.0,0.13
4,DLS-ACC,intermediate->expert,20,38.41,34.71,68.32,71.37,87.08,81.67,0.31,0.24
4,DLS-ACC,naive->expert,20,81.61,68.49,79.21,78.4,85.4,87.5,0.03,0.08
5,DMS-DLS,naive->intermediate,20,67.18,77.62,67.14,71.13,86.68,85.33,0.12,0.15
5,DMS-DLS,intermediate->expert,20,50.4,45.99,51.37,53.12,87.92,82.96,0.22,0.3
5,DMS-DLS,naive->expert,20,75.8,77.62,62.21,65.19,83.28,86.4,0.12,0.09
5,DMS-ACC,naive->intermediate,20,80.53,85.98,61.21,60.2,80.47,89.48,0.12,0.15
5,DMS-ACC,intermediate->expert,20,57.47,67.79,53.87,52.38,78.93,85.29,0.22,0.22
5,DMS-ACC,naive->expert,20,81.2,85.89,56.95,55.34,87.88,79.81,0.12,0.14
5,DLS-ACC,naive->intermediate,20,72.47,83.43,43.18,57.41,83.31,88.25,0.15,0.15
5,DLS-ACC,intermediate->expert,20,55.3,68.8,39.52,43.38,89.13,87.67,0.3,0.22
5,DLS-ACC,naive->expert,20,66.23,89.93,46.32,54.16,88.95,87.91,0.09,0.14
