animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,5196,56,38,0,20,0.1154,0,0.0,0.0889,10,0.4613,0.4182,0.36,0.3501,72.16,60.64
1,learner,22,DMS-DLS,intermediate,4620,56,38,0,20,0.1147,0,0.0,0.0208,9,0.4877,0.4097,0.3291,0.3587,66.72,65.41
1,learner,22,DMS-DLS,expert,4141,56,38,0,20,0.0782,0,0.0,-0.0136,-3,0.4714,0.4403,0.3134,0.3374,86.04,85.28
1,learner,22,DMS-ACC,naive,5196,56,34,0,20,0.4202,2,0.1216,0.0999,0,0.4613,0.4621,0.408,0.5595,55.64,62.62
1,learner,22,DMS-ACC,intermediate,4620,56,34,0,20,0.3349,1,0.0595,0.0431,0,0.4877,0.4379,0.3531,0.4646,47.97,21.29
1,learner,22,DMS-ACC,expert,4141,56,34,0,20,0.3128,1,0.0515,-0.0337,0,0.4714,0.3782,0.3135,0.3665,52.97,27.87
1,learner,22,DLS-ACC,naive,5196,38,34,0,20,0.0122,0,0.0,0.1542,6,0.4182,0.4621,0.539,0.5798,82.17,89.29
1,learner,22,DLS-ACC,intermediate,4620,38,34,0,20,-0.0172,0,0.0,0.0309,5,0.4097,0.4379,0.3419,0.4316,68.14,80.72
1,learner,22,DLS-ACC,expert,4141,38,34,0,20,0.0101,0,0.0,0.0083,0,0.4403,0.3782,0.4463,0.4948,89.34,89.96
2,learner,44,DMS-DLS,naive,3990,65,59,0,20,0.0938,0,0.0,0.0515,-7,0.6673,0.582,0.5219,0.3951,83.81,64.34
2,learner,44,DMS-DLS,intermediate,3258,65,59,0,20,0.0929,0,0.0,-0.0091,6,0.6594,0.4959,0.4847,0.3096,84.0,82.09
2,learner,44,DMS-DLS,expert,3056,65,59,0,20,0.115,0,0.0,0.0054,7,0.6288,0.5275,0.4538,0.3994,78.79,78.68
2,learner,44,DMS-ACC,naive,3990,65,54,0,20,0.1205,0,0.0,0.0747,0,0.6673,0.6675,0.4821,0.6014,80.96,68.83
2,learner,44,DMS-ACC,intermediate,3258,65,54,0,20,0.0465,0,0.0,0.055,1,0.6594,0.6471,0.4883,0.4984,85.32,84.8
2,learner,44,DMS-ACC,expert,3056,65,54,0,20,0.0548,0,0.0,-0.0171,1,0.6288,0.606,0.4557,0.5159,83.53,86.71
2,learner,44,DLS-ACC,naive,3990,59,54,0,20,-0.0133,0,0.0,0.1686,6,0.582,0.6675,0.3283,0.5234,79.51,68.48
2,learner,44,DLS-ACC,intermediate,3258,59,54,0,20,0.0156,0,0.0,-0.0214,-2,0.4959,0.6471,0.2876,0.4984,85.59,73.85
2,learner,44,DLS-ACC,expert,3056,59,54,0,20,0.0353,0,0.0,-0.0264,-8,0.5275,0.606,0.3724,0.4754,89.96,87.73
4,learner,53,DMS-DLS,naive,5652,16,76,0,16,0.1854,1,0.0175,-0.009,1,0.4569,0.5265,0.4171,0.3809,73.66,80.5
4,learner,53,DMS-DLS,intermediate,3786,16,76,0,16,0.0339,0,0.0,-0.1842,-6,0.552,0.3951,0.5172,0.2837,71.06,86.68
4,learner,53,DMS-DLS,expert,4054,16,76,0,16,0.0206,0,0.0,0.0342,10,0.4718,0.3623,0.46,0.3308,87.72,87.17
4,learner,53,DMS-ACC,naive,5652,16,51,0,16,0.0181,0,0.0,0.0473,0,0.4569,0.4224,0.356,0.2849,62.63,84.4
4,learner,53,DMS-ACC,intermediate,3786,16,51,0,16,0.0531,0,0.0,0.0763,1,0.552,0.3817,0.5383,0.2827,87.44,74.72
4,learner,53,DMS-ACC,expert,4054,16,51,0,16,0.0618,0,0.0,0.0077,-1,0.4718,0.3385,0.4304,0.2647,81.13,89.55
4,learner,53,DLS-ACC,naive,5652,76,51,0,20,0.1977,1,0.0199,0.0365,1,0.5302,0.41,0.2306,0.2081,71.82,68.95
4,learner,53,DLS-ACC,intermediate,3786,76,51,0,20,0.2718,1,0.0384,-0.0142,-10,0.4047,0.3805,0.2166,0.2279,50.05,54.88
4,learner,53,DLS-ACC,expert,4054,76,51,0,20,0.1703,0,0.0,-0.0334,-4,0.3917,0.3265,0.2023,0.2205,86.59,87.85
5,learner,54,DMS-DLS,naive,4340,55,226,0,20,0.1425,0,0.0,-0.0496,0,0.4847,0.5771,0.2422,0.3445,77.99,83.2
5,learner,54,DMS-DLS,intermediate,3837,55,226,0,20,0.4567,1,0.1169,-0.0252,0,0.4648,0.4891,0.3064,0.3299,56.29,59.07
5,learner,54,DMS-DLS,expert,3918,55,226,0,20,0.4451,1,0.1104,-0.0091,0,0.5206,0.5078,0.3391,0.3475,46.44,47.18
5,learner,54,DMS-ACC,naive,4340,55,162,0,20,0.2493,0,0.0,-0.0162,0,0.4847,0.5459,0.2013,0.2584,64.29,63.15
5,learner,54,DMS-ACC,intermediate,3837,55,162,0,20,0.2778,1,0.0402,0.0428,3,0.4648,0.5188,0.2284,0.2426,58.14,57.24
5,learner,54,DMS-ACC,expert,3918,55,162,0,20,0.2326,0,0.0,0.0282,9,0.5206,0.4913,0.2776,0.206,49.61,47.52
5,learner,54,DLS-ACC,naive,4340,226,162,0,20,0.1806,0,0.0,-0.0026,-8,0.5771,0.5459,0.2173,0.1525,49.98,68.18
5,learner,54,DLS-ACC,intermediate,3837,226,162,0,20,0.5001,1,0.1439,-0.005,-5,0.4891,0.5188,0.2023,0.1856,36.38,46.63
5,learner,54,DLS-ACC,expert,3918,226,162,0,20,0.3916,0,0.0,-0.0215,-8,0.5078,0.4913,0.2105,0.168,42.66,40.14
7,learner,33,DMS-ACC,naive,6651,13,56,0,13,0.115,0,0.0,-0.0977,-1,0.4379,0.5116,0.1882,0.2606,49.06,58.27
7,learner,33,DMS-ACC,intermediate,6624,13,56,0,13,0.0446,0,0.0,-0.0246,0,0.1611,0.3831,0.1662,0.2031,84.53,76.77
7,learner,33,DMS-ACC,expert,7211,13,56,0,13,0.0907,0,0.0,-0.0121,-2,0.1499,0.4005,0.1184,0.1902,59.29,71.51
9,learner,44,DMS-ACC,naive,3524,26,28,0,20,0.0949,0,0.0,0.0325,0,0.3746,0.2983,0.1712,0.1451,84.55,84.18
9,learner,44,DMS-ACC,intermediate,3980,26,28,0,20,0.0585,0,0.0,-0.0246,-10,0.3135,0.2518,0.135,0.1846,82.32,72.03
9,learner,44,DMS-ACC,expert,4297,26,28,0,20,0.0896,0,0.0,-0.0427,-10,0.3011,0.2493,0.1969,0.1614,86.21,89.37
9,learner,44,V1-DMS,naive,3524,24,26,0,20,0.0668,0,0.0,-0.0979,-5,0.1823,0.3746,0.2055,0.2143,52.33,89.95
9,learner,44,V1-DMS,intermediate,3980,24,26,0,20,0.0234,0,0.0,0.0962,8,0.1906,0.3135,0.2387,0.2324,86.51,82.36
9,learner,44,V1-DMS,expert,4297,24,26,0,20,-0.0033,0,0.0,0.0612,1,0.1928,0.3011,0.3692,0.3335,89.39,47.74
9,learner,44,V1-ACC,naive,3524,24,28,0,20,0.1565,0,0.0,0.0012,-1,0.1823,0.2983,0.1715,0.1631,54.54,55.74
