animal,pair,epoch,area,unit,contrib
1,DMS-DLS,naive,DMS,0,0.071875
1,DMS-DLS,naive,DMS,1,0.594901
1,DMS-DLS,naive,DMS,2,0.424909
1,DMS-DLS,naive,DMS,3,0.029711
1,DMS-DLS,naive,DMS,4,0.813138
1,DMS-DLS,naive,DMS,5,0.065132
1,DMS-DLS,naive,DMS,6,0.246046
1,DMS-DLS,naive,DMS,7,0.007673
1,DMS-DLS,naive,DMS,8,0.012544
1,DMS-DLS,naive,DMS,9,0.011522
1,DMS-DLS,naive,DMS,10,0.267229
1,DMS-DLS,naive,DMS,11,0.175169
1,DMS-DLS,naive,DMS,12,0.003208
1,DMS-DLS,naive,DMS,13,0.143496
1,DMS-DLS,naive,DMS,14,0.862364
1,DMS-DLS,naive,DMS,15,0.602181
1,DMS-DLS,naive,DMS,16,0.876377
1,DMS-DLS,naive,DMS,17,0.049731
1,DMS-DLS,naive,DMS,18,0.020916
1,DMS-DLS,naive,DMS,19,0.239822
1,DMS-DLS,naive,DMS,20,0.076431
1,DMS-DLS,naive,DMS,21,0.335478
1,DMS-DLS,naive,DMS,22,0.0
1,DMS-DLS,naive,DMS,23,0.699251
1,DMS-DLS,naive,DMS,24,0.774297
1,DMS-DLS,naive,DMS,25,0.077132
1,DMS-DLS,naive,DMS,26,0.031972
1,DMS-DLS,naive,DMS,27,0.22012
1,DMS-DLS,naive,DMS,28,0.365193
1,DMS-DLS,naive,DMS,29,0.063278
1,DMS-DLS,naive,DMS,30,0.055303
1,DMS-DLS,naive,DMS,31,0.289733
1,DMS-DLS,naive,DMS,32,1.017921
1,DMS-DLS,naive,DMS,33,0.828804
1,DMS-DLS,naive,DMS,34,0.083151
1,DMS-DLS,naive,DMS,35,0.679642
1,DMS-DLS,naive,DMS,36,0.150841
1,DMS-DLS,naive,DMS,37,0.0
1,DMS-DLS,naive,DMS,38,0.62415
1,DMS-DLS,naive,DMS,39,0.73003
1,DMS-DLS,naive,DMS,40,0.934398
1,DMS-DLS,naive,DMS,41,0.946957
1,DMS-DLS,naive,DMS,42,0.135743
1,DMS-DLS,naive,DMS,43,0.864812
1,DMS-DLS,naive,DMS,44,0.575291
1,DMS-DLS,naive,DMS,45,0.187021
1,DMS-DLS,naive,DMS,46,0.828595
1,DMS-DLS,naive,DMS,47,0.04537
1,DMS-DLS,naive,DMS,48,0.30358
1,DMS-DLS,naive,DMS,49,0.652089
1,DMS-DLS,naive,DMS,50,0.551789
1,DMS-DLS,naive,DMS,51,0.105122
1,DMS-DLS,naive,DMS,52,0.135418
1,DMS-DLS,naive,DMS,53,0.957194
1,DMS-DLS,naive,DMS,54,0.921717
1,DMS-DLS,naive,DMS,55,0.096132
1,DMS-DLS,naive,DMS,56,0.838954
1,DMS-DLS,naive,DLS,0,0.0
1,DMS-DLS,naive,DLS,1,0.383899
1,DMS-DLS,naive,DLS,2,0.719248
1,DMS-DLS,naive,DLS,3,1.050935
1,DMS-DLS,naive,DLS,4,1.083494
1,DMS-DLS,naive,DLS,5,0.045995
1,DMS-DLS,naive,DLS,6,0.978485
1,DMS-DLS,naive,DLS,7,0.098023
1,DMS-DLS,naive,DLS,8,0.963807
1,DMS-DLS,naive,DLS,9,1.015706
1,DMS-DLS,naive,DLS,10,0.046985
1,DMS-DLS,naive,DLS,11,0.628026
1,DMS-DLS,naive,DLS,12,0.124074
1,DMS-DLS,naive,DLS,13,0.627604
1,DMS-DLS,naive,DLS,14,0.681353
1,DMS-DLS,naive,DLS,15,1.033502
1,DMS-DLS,naive,DLS,16,0.468995
1,DMS-DLS,naive,DLS,17,0.0
1,DMS-DLS,naive,DLS,18,0.688545
