animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
10,DLS-ACC,intermediate->expert,8,89.17,88.94,44.54,30.04,88.79,83.24,0.25,0.33
10,DLS-ACC,naive->expert,8,88.25,49.23,41.25,0.74,88.16,62.18,0.0,0.33
10,V1-DMS,naive->intermediate,7,47.44,86.24,71.89,56.4,41.64,89.95,0.33,0.67
10,V1-DMS,intermediate->expert,7,29.82,65.11,73.23,69.18,56.24,81.04,1.0,0.43
10,V1-DMS,naive->expert,7,71.11,83.71,69.49,75.15,67.23,89.41,0.33,0.43
10,V1-DLS,naive->intermediate,7,45.38,84.11,53.6,75.76,84.31,89.28,0.33,0.25
10,V1-DLS,intermediate->expert,7,38.39,72.15,50.03,88.53,36.18,79.18,1.0,0.67
10,V1-DLS,naive->expert,7,80.59,84.37,79.13,75.5,78.36,87.66,0.33,0.25
10,V1-ACC,naive->intermediate,7,70.63,85.92,60.81,42.42,66.0,76.11,0.33,0.0
10,V1-ACC,intermediate->expert,7,84.92,89.18,70.47,70.81,82.95,81.45,1.0,1.0
10,V1-ACC,naive->expert,7,85.77,88.44,54.35,28.67,85.87,85.46,0.33,0.0
11,DMS-DLS,naive->intermediate,5,68.66,85.76,85.91,68.93,89.94,81.0,0.11,0.33
11,DMS-DLS,intermediate->expert,5,86.9,68.81,77.72,75.85,82.63,81.4,0.25,1.0
11,DMS-DLS,naive->expert,5,83.9,20.65,79.67,71.09,84.52,64.35,0.25,0.33
11,DMS-ACC,naive->intermediate,20,85.95,89.0,75.88,78.95,78.49,89.02,0.11,0.1
11,DMS-ACC,intermediate->expert,20,25.95,89.04,46.91,64.93,89.72,87.97,0.25,0.39
11,DMS-ACC,naive->expert,20,88.19,87.15,60.23,71.51,89.78,88.48,0.11,0.1
11,DLS-ACC,naive->intermediate,5,54.95,85.33,36.86,72.65,66.43,88.34,0.33,0.1
11,DLS-ACC,intermediate->expert,5,39.95,83.68,39.73,74.02,74.13,84.84,1.0,0.39
11,DLS-ACC,naive->expert,5,58.89,70.43,61.98,88.16,69.8,89.11,0.33,0.1
11,V1-DMS,naive->intermediate,20,77.89,89.6,59.63,83.5,85.14,87.59,0.13,0.11
11,V1-DMS,intermediate->expert,20,73.2,62.98,75.25,59.07,89.03,84.14,0.42,0.25
11,V1-DMS,naive->expert,20,68.1,65.64,68.03,61.05,87.7,77.8,0.13,0.11
11,V1-DLS,naive->intermediate,5,82.18,30.9,85.55,55.56,84.8,68.35,0.13,0.33
11,V1-DLS,intermediate->expert,5,88.14,47.87,87.75,60.39,89.43,63.55,0.26,1.0
11,V1-DLS,naive->expert,5,89.65,24.6,85.14,62.18,89.61,51.31,0.06,0.33
11,V1-ACC,naive->intermediate,20,80.6,85.31,60.9,72.52,84.95,84.28,0.17,0.1
11,V1-ACC,intermediate->expert,20,73.92,86.16,59.96,63.56,80.06,85.86,0.48,0.33
11,V1-ACC,naive->expert,20,88.73,85.52,63.01,69.63,89.05,88.27,0.13,0.1
11,CA1-DMS,naive->intermediate,20,83.08,78.89,78.24,71.78,87.62,86.23,0.08,0.11
11,CA1-DMS,intermediate->expert,20,83.14,80.07,76.62,73.96,80.77,70.15,0.27,0.25
11,CA1-DMS,naive->expert,20,73.62,83.48,74.17,65.76,79.23,85.07,0.08,0.11
11,CA1-DLS,naive->intermediate,5,86.95,46.79,84.38,71.48,87.93,26.62,0.08,0.33
11,CA1-DLS,intermediate->expert,5,34.17,24.94,55.42,45.53,75.94,65.26,0.4,1.0
11,CA1-DLS,naive->expert,5,85.39,34.97,52.77,40.86,87.39,60.55,0.08,0.33
11,CA1-ACC,naive->intermediate,20,80.8,82.61,81.29,81.27,89.54,88.8,0.08,0.1
11,CA1-ACC,intermediate->expert,20,51.36,59.35,85.7,79.79,89.32,84.96,0.27,0.33
11,CA1-ACC,naive->expert,20,74.16,84.01,80.4,86.33,76.52,88.22,0.08,0.1
11,CA1-V1,naive->intermediate,20,84.9,89.41,70.85,68.94,79.46,82.91,0.08,0.17
11,CA1-V1,intermediate->expert,20,21.25,76.91,75.73,73.62,88.79,80.45,0.27,0.48
11,CA1-V1,naive->expert,20,87.81,85.21,57.7,57.29,73.15,82.0,0.08,0.13
11,DG-DMS,naive->intermediate,6,88.86,89.45,68.36,77.76,79.59,82.82,0.33,0.25
11,DG-DMS,intermediate->expert,6,80.24,89.9,70.95,82.66,89.95,87.45,0.33,0.11
11,DG-DMS,naive->expert,6,69.62,82.05,68.18,72.16,73.07,88.16,0.0,0.0
11,DG-DLS,naive->intermediate,5,86.74,84.66,66.45,44.37,74.43,46.88,0.33,0.33
