animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
5,learner,54,DLS-ACC,expert,3918,237,175,0,20,0.495,0,0.0,-0.0116,0,0.4973,0.4745,0.2287,0.1869,38.46,35.27
6,learner,36,DMS-ACC,naive,6758,5,5,0,5,0.0221,0,0.0,0.166,8,0.1785,0.5144,0.4189,0.4181,21.74,34.4
6,learner,36,DMS-ACC,intermediate,6689,5,5,0,5,0.0916,0,0.0,-0.1291,-10,0.405,0.145,0.6796,0.615,28.4,18.33
6,learner,36,DMS-ACC,expert,6725,5,5,0,5,0.0435,0,0.0,-0.0575,1,0.3579,0.4574,0.2995,0.2636,86.54,24.45
7,learner,33,DMS-ACC,naive,6651,13,62,0,13,0.2644,1,0.0362,-0.0537,0,0.4379,0.5166,0.271,0.3274,34.99,38.34
7,learner,33,DMS-ACC,intermediate,6624,13,62,0,13,0.1578,1,0.0126,-0.0082,0,0.1611,0.3714,0.2309,0.2555,53.75,57.47
7,learner,33,DMS-ACC,expert,7211,13,62,0,13,0.1101,0,0.0,-0.0185,-2,0.1499,0.3882,0.1324,0.2081,70.48,80.72
9,learner,44,DMS-ACC,naive,3524,28,34,0,20,0.0822,0,0.0,0.0132,0,0.3949,0.391,0.1672,0.1358,79.19,66.69
9,learner,44,DMS-ACC,intermediate,3980,28,34,0,20,0.0111,0,0.0,0.0228,-10,0.3294,0.3263,0.1268,0.1672,71.49,82.82
9,learner,44,DMS-ACC,expert,4297,28,34,0,20,0.1034,0,0.0,-0.0571,-2,0.3269,0.3094,0.1822,0.1486,84.88,79.97
9,learner,44,V1-DMS,naive,3524,24,28,0,20,0.0628,0,0.0,-0.1043,-5,0.1823,0.3949,0.1901,0.2054,79.55,88.67
9,learner,44,V1-DMS,intermediate,3980,24,28,0,20,0.0254,0,0.0,0.0997,8,0.1906,0.3294,0.2384,0.2257,84.72,82.89
9,learner,44,V1-DMS,expert,4297,24,28,0,20,0.0346,0,0.0,0.0677,1,0.1928,0.3269,0.3444,0.321,89.67,53.21
9,learner,44,V1-ACC,naive,3524,24,34,0,20,0.1714,0,0.0,-0.0072,0,0.1823,0.391,0.1648,0.1655,39.64,52.61
9,learner,44,V1-ACC,intermediate,3980,24,34,0,20,0.0988,0,0.0,-0.0649,-3,0.1906,0.3263,0.1851,0.1771,88.68,89.75
9,learner,44,V1-ACC,expert,4297,24,34,0,20,0.0295,0,0.0,-0.0196,-9,0.1928,0.3094,0.1809,0.1493,77.06,71.22
10,learner,67,DMS-DLS,naive,3128,20,20,0,20,0.6795,2,0.4022,-0.0465,0,0.4043,0.1687,0.2841,0.3808,37.34,53.71
10,learner,67,DMS-DLS,intermediate,3052,20,20,0,20,0.7259,2,0.6309,0.0489,0,0.4738,0.1784,0.3635,0.472,52.72,25.51
10,learner,67,DMS-DLS,expert,3337,20,20,0,20,0.7596,2,0.6283,0.0386,-1,0.4768,0.2667,0.3672,0.5165,66.01,22.14
10,learner,67,DMS-ACC,naive,3128,20,16,0,16,0.3629,1,0.0706,0.0029,7,0.3704,0.3607,0.23,0.4095,74.42,52.8
