animal,pair,epoch,area,unit,contrib
1,DMS-DLS,naive,DMS,0,0.073583
1,DMS-DLS,naive,DMS,1,0.595965
1,DMS-DLS,naive,DMS,2,0.534589
1,DMS-DLS,naive,DMS,3,0.030268
1,DMS-DLS,naive,DMS,4,0.82955
1,DMS-DLS,naive,DMS,5,0.064591
1,DMS-DLS,naive,DMS,6,0.246992
1,DMS-DLS,naive,DMS,7,0.008338
1,DMS-DLS,naive,DMS,8,0.012612
1,DMS-DLS,naive,DMS,9,0.011515
1,DMS-DLS,naive,DMS,10,0.310569
1,DMS-DLS,naive,DMS,11,0.17901
1,DMS-DLS,naive,DMS,12,0.003231
1,DMS-DLS,naive,DMS,13,0.14171
1,DMS-DLS,naive,DMS,14,0.922979
1,DMS-DLS,naive,DMS,15,0.602388
1,DMS-DLS,naive,DMS,16,0.92932
1,DMS-DLS,naive,DMS,17,0.049722
1,DMS-DLS,naive,DMS,18,0.020305
1,DMS-DLS,naive,DMS,19,0.25325
1,DMS-DLS,naive,DMS,20,0.081149
1,DMS-DLS,naive,DMS,21,0.355159
1,DMS-DLS,naive,DMS,22,0.0
1,DMS-DLS,naive,DMS,23,0.699228
1,DMS-DLS,naive,DMS,24,0.774776
1,DMS-DLS,naive,DMS,25,0.081163
1,DMS-DLS,naive,DMS,26,0.032698
1,DMS-DLS,naive,DMS,27,0.240027
1,DMS-DLS,naive,DMS,28,0.599911
1,DMS-DLS,naive,DMS,29,0.068374
1,DMS-DLS,naive,DMS,30,0.056676
1,DMS-DLS,naive,DMS,31,0.33748
1,DMS-DLS,naive,DMS,32,1.024982
1,DMS-DLS,naive,DMS,33,0.21369
1,DMS-DLS,naive,DMS,34,0.679483
1,DMS-DLS,naive,DMS,35,0.152915
1,DMS-DLS,naive,DMS,36,0.0
1,DMS-DLS,naive,DMS,37,0.6254
1,DMS-DLS,naive,DMS,38,0.730046
1,DMS-DLS,naive,DMS,39,0.933905
1,DMS-DLS,naive,DMS,40,0.956534
1,DMS-DLS,naive,DMS,41,0.134724
1,DMS-DLS,naive,DMS,42,0.866487
1,DMS-DLS,naive,DMS,43,0.575249
1,DMS-DLS,naive,DMS,44,0.191232
1,DMS-DLS,naive,DMS,45,0.829529
1,DMS-DLS,naive,DMS,46,0.044578
1,DMS-DLS,naive,DMS,47,0.678468
1,DMS-DLS,naive,DMS,48,0.653364
1,DMS-DLS,naive,DMS,49,0.553058
1,DMS-DLS,naive,DMS,50,0.114976
1,DMS-DLS,naive,DMS,51,0.155282
1,DMS-DLS,naive,DMS,52,0.963005
1,DMS-DLS,naive,DMS,53,0.936144
1,DMS-DLS,naive,DMS,54,0.096204
1,DMS-DLS,naive,DMS,55,0.839245
1,DMS-DLS,naive,DLS,0,0.0
1,DMS-DLS,naive,DLS,1,0.73422
1,DMS-DLS,naive,DLS,2,0.724483
1,DMS-DLS,naive,DLS,3,1.051161
1,DMS-DLS,naive,DLS,4,0.032473
1,DMS-DLS,naive,DLS,5,1.101282
1,DMS-DLS,naive,DLS,6,0.481651
1,DMS-DLS,naive,DLS,7,0.963965
1,DMS-DLS,naive,DLS,8,0.132597
1,DMS-DLS,naive,DLS,9,0.629942
1,DMS-DLS,naive,DLS,10,0.531774
1,DMS-DLS,naive,DLS,11,0.692462
1,DMS-DLS,naive,DLS,12,1.187838
1,DMS-DLS,naive,DLS,13,0.0
1,DMS-DLS,naive,DLS,14,0.745131
1,DMS-DLS,naive,DLS,15,1.235168
1,DMS-DLS,naive,DLS,16,0.952699
1,DMS-DLS,naive,DLS,17,0.938068
1,DMS-DLS,naive,DLS,18,0.725456
1,DMS-DLS,naive,DLS,19,0.969438
1,DMS-DLS,naive,DLS,20,0.002857
1,DMS-DLS,naive,DLS,21,0.0
1,DMS-DLS,naive,DLS,22,0.972578
1,DMS-DLS,naive,DLS,23,0.50448
1,DMS-DLS,naive,DLS,24,0.0
1,DMS-DLS,naive,DLS,25,0.775962
1,DMS-DLS,naive,DLS,26,0.714761
1,DMS-DLS,naive,DLS,27,0.1643
1,DMS-DLS,naive,DLS,28,0.0
1,DMS-DLS,naive,DLS,29,0.739556
1,DMS-DLS,naive,DLS,30,1.059561
1,DMS-DLS,naive,DLS,31,0.136456
1,DMS-DLS,naive,DLS,32,1.025604
1,DMS-DLS,naive,DLS,33,0.012634
1,DMS-DLS,naive,DLS,34,0.652756
1,DMS-DLS,naive,DLS,35,1.030814
1,DMS-DLS,naive,DLS,36,0.01027
1,DMS-DLS,naive,DLS,37,0.829265
1,DMS-DLS,intermediate,DMS,0,0.17811
1,DMS-DLS,intermediate,DMS,1,0.573461
1,DMS-DLS,intermediate,DMS,2,0.917252
1,DMS-DLS,intermediate,DMS,3,0.064191
1,DMS-DLS,intermediate,DMS,4,0.817427
1,DMS-DLS,intermediate,DMS,5,0.087722
1,DMS-DLS,intermediate,DMS,6,0.991289
1,DMS-DLS,intermediate,DMS,7,0.116039
1,DMS-DLS,intermediate,DMS,8,0.059593
1,DMS-DLS,intermediate,DMS,9,0.737646
1,DMS-DLS,intermediate,DMS,10,0.26293
1,DMS-DLS,intermediate,DMS,11,0.153305
1,DMS-DLS,intermediate,DMS,12,0.099224
1,DMS-DLS,intermediate,DMS,13,0.824459
1,DMS-DLS,intermediate,DMS,14,0.836091
1,DMS-DLS,intermediate,DMS,15,0.719402
1,DMS-DLS,intermediate,DMS,16,0.341468
1,DMS-DLS,intermediate,DMS,17,0.02079
1,DMS-DLS,intermediate,DMS,18,0.413064
1,DMS-DLS,intermediate,DMS,19,0.110133
1,DMS-DLS,intermediate,DMS,20,0.928403
1,DMS-DLS,intermediate,DMS,21,0.021122
1,DMS-DLS,intermediate,DMS,22,0.0
1,DMS-DLS,intermediate,DMS,23,0.79161
1,DMS-DLS,intermediate,DMS,24,0.827925
1,DMS-DLS,intermediate,DMS,25,0.306784
1,DMS-DLS,intermediate,DMS,26,0.043367
1,DMS-DLS,intermediate,DMS,27,0.296154
1,DMS-DLS,intermediate,DMS,28,0.110676
1,DMS-DLS,intermediate,DMS,29,0.721648
1,DMS-DLS,intermediate,DMS,30,0.032645
1,DMS-DLS,intermediate,DMS,31,0.875071
1,DMS-DLS,intermediate,DMS,32,0.059849
1,DMS-DLS,intermediate,DMS,33,0.019884
1,DMS-DLS,intermediate,DMS,34,0.04096
1,DMS-DLS,intermediate,DMS,35,0.032532
1,DMS-DLS,intermediate,DMS,36,0.08717
1,DMS-DLS,intermediate,DMS,37,0.656462
1,DMS-DLS,intermediate,DMS,38,0.520239
1,DMS-DLS,intermediate,DMS,39,0.034533
