animal,pair,epoch,area,unit,contrib
9,V1-DMS,intermediate,DMS,13,1.228182
9,V1-DMS,intermediate,DMS,14,0.775602
9,V1-DMS,intermediate,DMS,15,0.802749
9,V1-DMS,intermediate,DMS,16,0.562817
9,V1-DMS,intermediate,DMS,17,1.074748
9,V1-DMS,intermediate,DMS,18,0.319892
9,V1-DMS,intermediate,DMS,19,1.537026
9,V1-DMS,intermediate,DMS,20,0.942841
9,V1-DMS,intermediate,DMS,21,0.958915
9,V1-DMS,intermediate,DMS,22,0.738767
9,V1-DMS,intermediate,DMS,23,1.202933
9,V1-DMS,intermediate,DMS,24,1.187403
9,V1-DMS,intermediate,DMS,25,1.327465
9,V1-DMS,expert,V1,0,0.983101
9,V1-DMS,expert,V1,1,0.968192
9,V1-DMS,expert,V1,2,0.098902
9,V1-DMS,expert,V1,3,0.983086
9,V1-DMS,expert,V1,4,0.953777
9,V1-DMS,expert,V1,5,1.038346
9,V1-DMS,expert,V1,6,1.024268
9,V1-DMS,expert,V1,7,1.076316
9,V1-DMS,expert,V1,8,1.1182
9,V1-DMS,expert,V1,9,0.009358
9,V1-DMS,expert,V1,10,0.944838
9,V1-DMS,expert,V1,11,0.032849
9,V1-DMS,expert,V1,12,1.05977
9,V1-DMS,expert,V1,13,1.112595
9,V1-DMS,expert,V1,14,0.9536
9,V1-DMS,expert,V1,15,1.145826
9,V1-DMS,expert,V1,16,0.899983
9,V1-DMS,expert,V1,17,0.965616
9,V1-DMS,expert,V1,18,1.066293
9,V1-DMS,expert,V1,19,1.060818
9,V1-DMS,expert,V1,20,0.200542
9,V1-DMS,expert,V1,21,0.858647
9,V1-DMS,expert,V1,22,1.042611
9,V1-DMS,expert,V1,23,1.049599
9,V1-DMS,expert,DMS,0,0.075288
9,V1-DMS,expert,DMS,1,1.680781
9,V1-DMS,expert,DMS,2,0.202855
9,V1-DMS,expert,DMS,3,0.985428
9,V1-DMS,expert,DMS,4,0.653743
9,V1-DMS,expert,DMS,5,1.403432
9,V1-DMS,expert,DMS,6,1.189249
9,V1-DMS,expert,DMS,7,1.034489
9,V1-DMS,expert,DMS,8,1.221873
9,V1-DMS,expert,DMS,9,0.066845
9,V1-DMS,expert,DMS,10,1.21005
9,V1-DMS,expert,DMS,11,1.581343
9,V1-DMS,expert,DMS,12,1.46764
9,V1-DMS,expert,DMS,13,1.136441
9,V1-DMS,expert,DMS,14,1.017629
9,V1-DMS,expert,DMS,15,1.330926
9,V1-DMS,expert,DMS,16,0.001526
9,V1-DMS,expert,DMS,17,1.06792
9,V1-DMS,expert,DMS,18,1.52116
9,V1-DMS,expert,DMS,19,0.459528
9,V1-DMS,expert,DMS,20,1.063155
9,V1-DMS,expert,DMS,21,0.017483
9,V1-DMS,expert,DMS,22,0.798561
9,V1-DMS,expert,DMS,23,1.280713
9,V1-DMS,expert,DMS,24,0.952667
9,V1-DMS,expert,DMS,25,1.365372
9,V1-ACC,naive,V1,0,0.983677
9,V1-ACC,naive,V1,1,0.949876
9,V1-ACC,naive,V1,2,0.196017
9,V1-ACC,naive,V1,3,0.572654
9,V1-ACC,naive,V1,4,0.846637
9,V1-ACC,naive,V1,5,0.522649
9,V1-ACC,naive,V1,6,0.975232
9,V1-ACC,naive,V1,7,0.500213
9,V1-ACC,naive,V1,8,0.6434
9,V1-ACC,naive,V1,9,0.424779
9,V1-ACC,naive,V1,10,0.554675
9,V1-ACC,naive,V1,11,0.528054
9,V1-ACC,naive,V1,12,0.634968
9,V1-ACC,naive,V1,13,0.832448
9,V1-ACC,naive,V1,14,0.783929
9,V1-ACC,naive,V1,15,0.384789
9,V1-ACC,naive,V1,16,0.491767
9,V1-ACC,naive,V1,17,0.553199
9,V1-ACC,naive,V1,18,0.601626
9,V1-ACC,naive,V1,19,0.767442
9,V1-ACC,naive,V1,20,1.013372
9,V1-ACC,naive,V1,21,0.753467
9,V1-ACC,naive,V1,22,0.578181
9,V1-ACC,naive,V1,23,0.515042
9,V1-ACC,naive,ACC,0,0.754099
9,V1-ACC,naive,ACC,1,0.799345
9,V1-ACC,naive,ACC,2,0.692091
9,V1-ACC,naive,ACC,3,0.794573
9,V1-ACC,naive,ACC,4,0.060707
9,V1-ACC,naive,ACC,5,0.725012
9,V1-ACC,naive,ACC,6,0.53682
9,V1-ACC,naive,ACC,7,0.083051
9,V1-ACC,naive,ACC,8,0.580319
9,V1-ACC,naive,ACC,9,0.029097
9,V1-ACC,naive,ACC,10,0.437429
9,V1-ACC,naive,ACC,11,0.513548
9,V1-ACC,naive,ACC,12,0.614592
9,V1-ACC,naive,ACC,13,0.976727
9,V1-ACC,naive,ACC,14,0.518286
9,V1-ACC,naive,ACC,15,0.600635
9,V1-ACC,naive,ACC,16,0.761994
9,V1-ACC,naive,ACC,17,0.324182
9,V1-ACC,naive,ACC,18,0.469716
9,V1-ACC,naive,ACC,19,0.87027
9,V1-ACC,naive,ACC,20,0.381757
9,V1-ACC,naive,ACC,21,0.036585
9,V1-ACC,naive,ACC,22,0.924499
9,V1-ACC,naive,ACC,23,0.880838
9,V1-ACC,naive,ACC,24,0.043498
9,V1-ACC,naive,ACC,25,0.589626
9,V1-ACC,naive,ACC,26,0.756745
9,V1-ACC,naive,ACC,27,0.928465
9,V1-ACC,intermediate,V1,0,0.98887
9,V1-ACC,intermediate,V1,1,0.970614
9,V1-ACC,intermediate,V1,2,0.03464
9,V1-ACC,intermediate,V1,3,0.895208
9,V1-ACC,intermediate,V1,4,0.859566
9,V1-ACC,intermediate,V1,5,0.760121
9,V1-ACC,intermediate,V1,6,0.974863
9,V1-ACC,intermediate,V1,7,0.9001
9,V1-ACC,intermediate,V1,8,0.764267
9,V1-ACC,intermediate,V1,9,0.008235
9,V1-ACC,intermediate,V1,10,0.859115
9,V1-ACC,intermediate,V1,11,0.797115
9,V1-ACC,intermediate,V1,12,0.898169
9,V1-ACC,intermediate,V1,13,1.040201
9,V1-ACC,intermediate,V1,14,0.840631
9,V1-ACC,intermediate,V1,15,0.586825
9,V1-ACC,intermediate,V1,16,0.998915
9,V1-ACC,intermediate,V1,17,0.929986
9,V1-ACC,intermediate,V1,18,0.878199
9,V1-ACC,intermediate,V1,19,0.961528
9,V1-ACC,intermediate,V1,20,0.23935
9,V1-ACC,intermediate,V1,21,0.477558
9,V1-ACC,intermediate,V1,22,0.994851
9,V1-ACC,intermediate,V1,23,1.00306
9,V1-ACC,intermediate,ACC,0,0.988815
9,V1-ACC,intermediate,ACC,1,0.989187
9,V1-ACC,intermediate,ACC,2,0.998406
9,V1-ACC,intermediate,ACC,3,0.982727
9,V1-ACC,intermediate,ACC,4,1.069617
9,V1-ACC,intermediate,ACC,5,0.983201
9,V1-ACC,intermediate,ACC,6,0.81908
9,V1-ACC,intermediate,ACC,7,0.76353
9,V1-ACC,intermediate,ACC,8,0.735851
9,V1-ACC,intermediate,ACC,9,0.260705
9,V1-ACC,intermediate,ACC,10,1.080588
9,V1-ACC,intermediate,ACC,11,0.933382
9,V1-ACC,intermediate,ACC,12,0.959688
9,V1-ACC,intermediate,ACC,13,0.045733
9,V1-ACC,intermediate,ACC,14,0.954773
9,V1-ACC,intermediate,ACC,15,0.960103
9,V1-ACC,intermediate,ACC,16,0.444843
9,V1-ACC,intermediate,ACC,17,1.04268
9,V1-ACC,intermediate,ACC,18,0.078063
9,V1-ACC,intermediate,ACC,19,0.933824
9,V1-ACC,intermediate,ACC,20,0.042558
9,V1-ACC,intermediate,ACC,21,0.042303
9,V1-ACC,intermediate,ACC,22,0.941809
9,V1-ACC,intermediate,ACC,23,0.798873
9,V1-ACC,intermediate,ACC,24,0.158536
9,V1-ACC,intermediate,ACC,25,0.849368
9,V1-ACC,intermediate,ACC,26,0.849047
9,V1-ACC,intermediate,ACC,27,0.955134
9,V1-ACC,expert,V1,0,0.983769
9,V1-ACC,expert,V1,1,0.967749
9,V1-ACC,expert,V1,2,0.10872
9,V1-ACC,expert,V1,3,0.981026
9,V1-ACC,expert,V1,4,0.952549
9,V1-ACC,expert,V1,5,1.040365
9,V1-ACC,expert,V1,6,1.022478
9,V1-ACC,expert,V1,7,1.096047
9,V1-ACC,expert,V1,8,1.119272
9,V1-ACC,expert,V1,9,0.010498
9,V1-ACC,expert,V1,10,0.941454
9,V1-ACC,expert,V1,11,0.03462
9,V1-ACC,expert,V1,12,1.058132
9,V1-ACC,expert,V1,13,1.108391
9,V1-ACC,expert,V1,14,0.954151
9,V1-ACC,expert,V1,15,1.144837
9,V1-ACC,expert,V1,16,0.891911
9,V1-ACC,expert,V1,17,0.964477
9,V1-ACC,expert,V1,18,1.064651
9,V1-ACC,expert,V1,19,1.060119
9,V1-ACC,expert,V1,20,0.218115
9,V1-ACC,expert,V1,21,0.913252
9,V1-ACC,expert,V1,22,1.077119
9,V1-ACC,expert,V1,23,1.047568
9,V1-ACC,expert,ACC,0,0.980943
9,V1-ACC,expert,ACC,1,0.95522
9,V1-ACC,expert,ACC,2,1.046158
9,V1-ACC,expert,ACC,3,0.990896
9,V1-ACC,expert,ACC,4,0.985252
9,V1-ACC,expert,ACC,5,1.090321
9,V1-ACC,expert,ACC,6,0.106608
9,V1-ACC,expert,ACC,7,0.464764
9,V1-ACC,expert,ACC,8,1.099608
9,V1-ACC,expert,ACC,9,0.829942
9,V1-ACC,expert,ACC,10,1.089752
9,V1-ACC,expert,ACC,11,0.355455
9,V1-ACC,expert,ACC,12,1.055349
