animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,12998,57,42,0,20,0.1499,0,0.0,0.0777,25,0.5062,0.4598,0.3515,0.369,54.49,50.7
1,learner,22,DMS-DLS,intermediate,11529,57,42,0,20,0.1933,0,0.0,0.0489,23,0.5393,0.4288,0.3354,0.3684,41.06,47.23
1,learner,22,DMS-DLS,expert,10365,57,42,0,20,0.1637,0,0.0,0.016,0,0.5413,0.4665,0.3442,0.3633,83.49,85.55
1,learner,22,DMS-ACC,naive,12998,57,34,0,20,0.3001,1,0.0472,0.0726,0,0.5062,0.4793,0.4289,0.5495,61.08,65.68
1,learner,22,DMS-ACC,intermediate,11529,57,34,0,20,0.2057,1,0.0216,0.0412,0,0.5393,0.483,0.3454,0.4457,61.16,27.9
1,learner,22,DMS-ACC,expert,10365,57,34,0,20,0.1894,1,0.0183,-0.035,0,0.5413,0.3981,0.306,0.3755,42.9,39.65
1,learner,22,DLS-ACC,naive,12998,42,34,0,20,0.0034,0,0.0,0.1594,17,0.4598,0.4793,0.5302,0.564,82.54,81.99
1,learner,22,DLS-ACC,intermediate,11529,42,34,0,20,0.0026,0,0.0,0.0104,13,0.4288,0.483,0.366,0.3749,89.25,79.12
1,learner,22,DLS-ACC,expert,10365,42,34,0,20,0.0019,0,0.0,0.0142,-18,0.4665,0.3981,0.4435,0.4039,89.76,88.55
2,learner,44,DMS-DLS,naive,9984,69,60,0,20,0.0436,0,0.0,0.0415,5,0.7092,0.6364,0.5245,0.3852,81.25,58.89
2,learner,44,DMS-DLS,intermediate,8180,69,60,0,20,0.1026,0,0.0,-0.022,-6,0.6818,0.5202,0.4761,0.3455,53.86,61.2
2,learner,44,DMS-DLS,expert,7629,69,60,0,20,0.1364,0,0.0,0.0147,18,0.6591,0.578,0.4353,0.419,83.56,84.17
2,learner,44,DMS-ACC,naive,9984,69,64,0,20,0.1316,1,0.0087,0.1122,1,0.7092,0.6949,0.4535,0.5392,51.92,41.04
2,learner,44,DMS-ACC,intermediate,8180,69,64,0,20,0.0494,0,0.0,-0.013,-1,0.6818,0.6722,0.518,0.4795,84.09,85.23
2,learner,44,DMS-ACC,expert,7629,69,64,0,20,0.0956,0,0.0,0.0249,3,0.6591,0.6233,0.4251,0.4584,82.29,89.06
2,learner,44,DLS-ACC,naive,9984,60,64,0,20,0.0423,0,0.0,0.1198,21,0.6364,0.6949,0.3509,0.4902,67.15,67.48
2,learner,44,DLS-ACC,intermediate,8180,60,64,0,20,0.0492,0,0.0,0.0232,24,0.5202,0.6722,0.2694,0.4561,89.53,89.73
2,learner,44,DLS-ACC,expert,7629,60,64,0,20,0.0462,0,0.0,-0.0314,-20,0.578,0.6233,0.3492,0.4441,83.64,83.84
4,learner,53,DMS-DLS,naive,14090,16,83,0,16,0.0981,0,0.0,-0.0147,2,0.4551,0.6041,0.3968,0.3695,70.27,80.91
4,learner,53,DMS-DLS,intermediate,9455,16,83,0,16,0.0505,0,0.0,-0.1632,-23,0.5441,0.4259,0.5038,0.314,65.24,75.94
4,learner,53,DMS-DLS,expert,10129,16,83,0,16,0.0459,0,0.0,0.0259,-18,0.4519,0.4115,0.4429,0.3536,73.34,84.96
4,learner,53,DMS-ACC,naive,14090,16,53,0,16,0.0204,0,0.0,0.0063,0,0.4551,0.4718,0.3632,0.3104,82.18,84.83
4,learner,53,DMS-ACC,intermediate,9455,16,53,0,16,0.0051,0,0.0,0.0641,1,0.5441,0.4556,0.5306,0.3309,53.1,83.84
4,learner,53,DMS-ACC,expert,10129,16,53,0,16,0.02,0,0.0,0.0131,-2,0.4519,0.4045,0.3772,0.2296,87.72,87.96
4,learner,53,DLS-ACC,naive,14090,83,53,0,20,0.1626,1,0.0134,0.0551,9,0.6079,0.4659,0.2277,0.2093,57.73,47.0
4,learner,53,DLS-ACC,intermediate,9455,83,53,0,20,0.2044,0,0.0,-0.0239,-16,0.4457,0.4309,0.2162,0.2145,47.22,46.85
4,learner,53,DLS-ACC,expert,10129,83,53,0,20,0.1453,0,0.0,-0.0327,-9,0.4328,0.3918,0.209,0.205,74.24,79.66
5,learner,54,DMS-DLS,naive,10882,55,237,0,20,0.1077,0,0.0,-0.0368,12,0.5241,0.6385,0.24,0.3426,73.7,86.96
5,learner,54,DMS-DLS,intermediate,9613,55,237,0,20,0.321,1,0.0544,-0.0414,0,0.521,0.5398,0.3318,0.3525,72.61,69.34
5,learner,54,DMS-DLS,expert,9822,55,237,0,20,0.3042,1,0.0486,-0.0088,-1,0.5548,0.5513,0.3242,0.3525,51.66,41.83
5,learner,54,DMS-ACC,naive,10882,55,175,0,20,0.1631,0,0.0,-0.0032,0,0.5241,0.6279,0.185,0.2425,47.42,76.28
5,learner,54,DMS-ACC,intermediate,9613,55,175,0,20,0.1658,0,0.0,0.0858,7,0.521,0.5696,0.2341,0.2539,52.99,50.39
5,learner,54,DMS-ACC,expert,9822,55,175,0,20,0.1744,0,0.0,0.0244,22,0.5548,0.5665,0.2718,0.2094,53.93,37.55
5,learner,54,DLS-ACC,naive,10882,237,175,0,20,0.0547,0,0.0,0.0171,8,0.6385,0.6279,0.2157,0.1625,77.27,89.39
5,learner,54,DLS-ACC,intermediate,9613,237,175,0,20,0.414,1,0.094,0.0065,13,0.5398,0.5696,0.2048,0.1957,28.45,39.44
5,learner,54,DLS-ACC,expert,9822,237,175,0,20,0.3638,1,0.071,-0.011,0,0.5513,0.5665,0.2123,0.1846,35.13,31.45
6,learner,36,DMS-ACC,naive,16887,5,5,0,5,0.0235,0,0.0,0.1236,11,0.1704,0.4926,0.4511,0.4899,19.92,24.6
6,learner,36,DMS-ACC,intermediate,16738,5,5,0,5,0.0559,0,0.0,-0.1177,-15,0.4153,0.0812,0.6079,0.5555,48.1,28.26
6,learner,36,DMS-ACC,expert,16844,5,5,0,5,0.0278,0,0.0,-0.0571,19,0.353,0.3535,0.465,0.3422,66.24,33.69
7,learner,33,DMS-ACC,naive,16579,13,62,0,13,0.1829,1,0.017,-0.0713,-1,0.4088,0.5632,0.2747,0.3306,31.05,36.77
7,learner,33,DMS-ACC,intermediate,16581,13,62,0,13,0.1033,1,0.0054,-0.0293,-11,0.1527,0.4533,0.2178,0.2655,43.44,41.05
7,learner,33,DMS-ACC,expert,18061,13,62,0,13,0.0647,0,0.0,-0.034,-4,0.1483,0.4563,0.1425,0.2037,57.24,67.77
9,learner,44,DMS-ACC,naive,8812,28,34,0,20,0.0705,0,0.0,0.0065,0,0.3863,0.3808,0.1763,0.1159,63.83,70.72
9,learner,44,DMS-ACC,intermediate,9971,28,34,0,20,0.0282,0,0.0,0.0023,-15,0.3301,0.3627,0.1422,0.1835,73.56,70.69
9,learner,44,DMS-ACC,expert,10758,28,34,0,20,0.0428,0,0.0,-0.0149,21,0.3455,0.3697,0.191,0.1856,89.7,89.16
9,learner,44,V1-DMS,naive,8812,24,28,0,20,0.01,0,0.0,-0.0654,-12,0.2375,0.3863,0.1927,0.2099,82.89,86.87
9,learner,44,V1-DMS,intermediate,9971,24,28,0,20,0.0067,0,0.0,0.1083,18,0.2209,0.3301,0.2477,0.3038,82.28,87.99
9,learner,44,V1-DMS,expert,10758,24,28,0,20,0.0142,0,0.0,0.0906,2,0.1968,0.3455,0.366,0.3664,84.66,67.02
9,learner,44,V1-ACC,naive,8812,24,34,0,20,0.1143,0,0.0,-0.0145,-19,0.2375,0.3808,0.1373,0.1577,50.48,59.79
9,learner,44,V1-ACC,intermediate,9971,24,34,0,20,0.046,0,0.0,-0.0528,-2,0.2209,0.3627,0.1642,0.1931,75.98,89.46
9,learner,44,V1-ACC,expert,10758,24,34,0,20,0.0323,0,0.0,-0.0366,-20,0.1968,0.3697,0.2146,0.2201,89.0,81.31
10,learner,67,DMS-DLS,naive,7828,20,20,0,20,0.5133,2,0.1973,-0.0431,-1,0.3932,0.1654,0.3158,0.3903,74.35,45.67
10,learner,67,DMS-DLS,intermediate,7672,20,20,0,20,0.5833,2,0.3157,0.0697,0,0.4242,0.1523,0.3857,0.4874,64.24,26.36
10,learner,67,DMS-DLS,expert,8381,20,20,0,20,0.6233,2,0.3301,0.0543,-1,0.4195,0.2724,0.3873,0.5291,76.77,23.82
10,learner,67,DMS-ACC,naive,7828,20,16,0,16,0.2663,1,0.0368,0.0143,17,0.2995,0.3584,0.2601,0.4327,85.67,50.59
10,learner,67,DMS-ACC,intermediate,7672,20,16,0,16,0.3609,2,0.0892,0.1522,11,0.403,0.2377,0.3591,0.4456,26.88,29.17
10,learner,67,DMS-ACC,expert,8381,20,16,0,16,0.3007,1,0.0474,0.1002,8,0.4411,0.3698,0.3387,0.4394,53.17,37.1
10,learner,67,DLS-ACC,naive,7828,20,16,0,16,0.1721,0,0.0,-0.032,-8,0.2025,0.3584,0.2318,0.3487,85.92,64.13
10,learner,67,DLS-ACC,intermediate,7672,20,16,0,16,0.3218,1,0.0547,0.0205,2,0.1628,0.2377,0.4023,0.4483,23.35,32.6
10,learner,67,DLS-ACC,expert,8381,20,16,0,16,0.2816,1,0.0413,0.0579,13,0.2685,0.3698,0.3525,0.387,34.84,37.96
10,learner,67,V1-DMS,naive,7828,7,20,0,7,0.0257,0,0.0,-0.0115,-8,0.0244,0.3283,0.09,0.1399,72.22,74.91
10,learner,67,V1-DMS,intermediate,7672,7,20,0,7,0.0875,0,0.0,0.0237,17,0.0854,0.5264,0.3029,0.3124,42.52,88.17
10,learner,67,V1-DMS,expert,8381,7,20,0,7,0.1258,0,0.0,0.0488,12,0.1189,0.1997,0.2128,0.2961,14.23,55.67
10,learner,67,V1-DLS,naive,7828,7,20,0,7,0.0464,0,0.0,-0.0094,8,0.0244,0.2032,0.1661,0.143,74.58,82.8
10,learner,67,V1-DLS,intermediate,7672,7,20,0,7,0.0953,0,0.0,0.0489,19,0.0854,0.244,0.2155,0.2422,21.56,69.44
10,learner,67,V1-DLS,expert,8381,7,20,0,7,0.0934,0,0.0,0.0589,20,0.1189,0.297,0.1571,0.3235,35.27,49.66
10,learner,67,V1-ACC,naive,7828,7,16,0,7,0.0023,0,0.0,-0.0109,22,0.0244,0.4249,0.1064,0.2754,71.58,65.63
10,learner,67,V1-ACC,intermediate,7672,7,16,0,7,0.0493,0,0.0,-0.0177,22,0.0854,0.2489,0.1882,0.2685,88.94,84.55
10,learner,67,V1-ACC,expert,8381,7,16,0,7,0.0523,0,0.0,0.0095,-6,0.1189,0.3893,0.1835,0.2434,89.86,73.75
11,learner,84,DMS-DLS,naive,13286,20,5,0,5,0.045,0,0.0,0.0381,3,0.4335,0.4001,0.5746,0.5101,68.82,80.03
11,learner,84,DMS-DLS,intermediate,9865,20,5,0,5,0.0063,0,0.0,-0.0715,-20,0.5671,0.6765,0.5468,0.591,89.45,84.84
11,learner,84,DMS-DLS,expert,10602,20,5,0,5,-0.0112,0,0.0,-0.0842,-23,0.3976,0.5125,0.3926,0.2816,89.77,84.88
11,learner,84,DMS-ACC,naive,13286,20,67,0,20,0.0003,0,0.0,-0.0295,0,0.305,0.6179,0.279,0.3112,77.12,89.23
11,learner,84,DMS-ACC,intermediate,9865,20,67,0,20,0.0073,0,0.0,0.1262,8,0.4076,0.5726,0.2726,0.3207,88.76,88.89
11,learner,84,DMS-ACC,expert,10602,20,67,0,20,0.0686,0,0.0,-0.015,-9,0.3029,0.5618,0.3756,0.3735,89.75,75.66
11,learner,84,DLS-ACC,naive,13286,5,67,0,5,0.0341,0,0.0,0.0555,3,0.4001,0.6318,0.3876,0.4324,84.13,77.05
11,learner,84,DLS-ACC,intermediate,9865,5,67,0,5,0.0478,0,0.0,0.0473,-17,0.6765,0.6331,0.3765,0.4117,21.39,64.69
11,learner,84,DLS-ACC,expert,10602,5,67,0,5,0.015,0,0.0,-0.0535,-2,0.5125,0.6128,0.2826,0.4005,77.61,86.1
11,learner,84,V1-DMS,naive,13286,67,20,0,20,0.1127,0,0.0,0.0032,5,0.6409,0.305,0.2461,0.1941,50.96,65.44
11,learner,84,V1-DMS,intermediate,9865,67,20,0,20,0.0673,0,0.0,-0.0348,0,0.495,0.4076,0.3011,0.2356,71.29,83.03
11,learner,84,V1-DMS,expert,10602,67,20,0,20,0.0082,0,0.0,0.0655,9,0.5018,0.3029,0.2554,0.2436,84.77,71.09
11,learner,84,V1-DLS,naive,13286,67,5,0,5,0.0337,0,0.0,-0.0194,18,0.6772,0.4001,0.3819,0.1048,76.49,68.34
11,learner,84,V1-DLS,intermediate,9865,67,5,0,5,0.0073,0,0.0,-0.0647,-12,0.5369,0.6765,0.3613,0.3802,88.66,70.15
11,learner,84,V1-DLS,expert,10602,67,5,0,5,-0.011,0,0.0,-0.0645,-10,0.5198,0.5125,0.3997,0.318,89.9,21.45
11,learner,84,V1-ACC,naive,13286,67,67,0,20,0.0821,0,0.0,-0.0043,-19,0.6409,0.6179,0.1942,0.1533,59.74,67.3
11,learner,84,V1-ACC,intermediate,9865,67,67,0,20,0.0691,0,0.0,0.066,19,0.495,0.5726,0.1778,0.1898,49.0,66.23
11,learner,84,V1-ACC,expert,10602,67,67,0,20,0.0236,0,0.0,0.0127,-3,0.5018,0.5618,0.1702,0.1471,79.93,88.16
11,learner,84,CA1-DMS,naive,13286,28,20,0,20,0.0063,0,0.0,-0.0324,8,0.3951,0.305,0.231,0.1996,61.3,86.57
11,learner,84,CA1-DMS,intermediate,9865,28,20,0,20,0.0035,0,0.0,-0.0622,-12,0.3228,0.4076,0.2297,0.2322,78.07,86.41
11,learner,84,CA1-DMS,expert,10602,28,20,0,20,0.0212,0,0.0,-0.0052,11,0.2837,0.3029,0.1955,0.2056,87.23,64.74
11,learner,84,CA1-DLS,naive,13286,28,5,0,5,0.0014,0,0.0,-0.0214,-17,0.4277,0.4001,0.3658,0.1658,81.72,86.02
