animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
10,DMS-ACC,intermediate->expert,16,88.69,82.85,19.48,23.13,89.03,83.67,0.67,0.33
10,DMS-ACC,naive->expert,16,88.39,84.19,46.69,23.35,79.59,82.69,0.25,0.0
10,DLS-ACC,naive->intermediate,16,85.76,88.73,66.59,34.64,81.5,88.79,0.25,0.0
10,DLS-ACC,intermediate->expert,16,86.75,88.29,44.69,34.17,89.73,89.92,0.43,0.33
10,DLS-ACC,naive->expert,16,88.14,49.23,21.89,0.47,88.58,80.24,0.0,0.14
10,V1-DMS,naive->intermediate,7,48.79,80.83,74.5,67.84,42.1,82.1,0.33,0.43
10,V1-DMS,intermediate->expert,7,33.05,82.67,79.05,61.89,67.88,84.85,1.0,0.43
10,V1-DMS,naive->expert,7,74.28,74.64,76.13,82.05,61.28,84.16,0.33,0.43
10,V1-DLS,naive->intermediate,7,73.77,57.85,52.16,74.29,89.18,83.44,0.33,0.25
10,V1-DLS,intermediate->expert,7,43.08,79.38,47.02,87.72,46.36,72.64,1.0,0.67
10,V1-DLS,naive->expert,7,73.36,86.9,80.32,74.6,89.76,85.28,0.33,0.25
10,V1-ACC,naive->intermediate,7,66.67,82.14,63.43,41.75,82.32,84.73,0.33,0.0
10,V1-ACC,intermediate->expert,7,60.55,82.7,75.25,78.42,51.39,83.22,1.0,0.33
10,V1-ACC,naive->expert,7,86.72,89.73,55.3,37.72,79.19,89.34,0.33,0.0
11,DMS-DLS,naive->intermediate,5,68.92,86.47,87.07,69.54,89.52,81.23,0.11,0.33
11,DMS-DLS,intermediate->expert,5,86.02,70.95,79.1,77.54,81.56,81.24,0.25,1.0
11,DMS-DLS,naive->expert,5,84.05,19.51,79.73,68.42,85.41,64.4,0.25,0.33
11,DMS-ACC,naive->intermediate,20,85.45,89.82,67.34,83.17,73.47,87.16,0.11,0.1
11,DMS-ACC,intermediate->expert,20,27.8,87.89,39.59,67.71,89.88,89.61,0.25,0.36
11,DMS-ACC,naive->expert,20,87.26,87.48,57.66,72.98,87.82,87.88,0.11,0.13
11,DLS-ACC,naive->intermediate,5,49.15,89.34,43.13,63.52,63.35,86.84,0.33,0.1
11,DLS-ACC,intermediate->expert,5,30.46,84.68,38.79,67.7,60.45,87.85,1.0,0.26
11,DLS-ACC,naive->expert,5,43.26,71.85,77.45,84.82,63.49,89.99,0.33,0.1
