group,condition,epoch,animal,decoding_error,norm_entropy
Control 1 (Spatial),No-V1,Intermediate,1,0.328826402324638,0.178475668137696
Control 1 (Spatial),No-V1,Intermediate,2,0.266978295616993,0.0687177492665423
Control 1 (Spatial),No-V1,Intermediate,3,0.331647082397373,0.173176575370837
Control 1 (Spatial),No-V1,Intermediate,4,0.343292702569066,0.240514244878991
Control 1 (Spatial),No-V1,Intermediate,5,0.323437455999389,0.126147491810908
Control 1 (Spatial),No-V1,Expert,1,0.329899590172939,0.179692510260064
Control 1 (Spatial),No-V1,Expert,2,0.272247810394454,0.0559653855229734
Control 1 (Spatial),No-V1,Expert,3,0.338343582761121,0.172745208711723
Control 1 (Spatial),No-V1,Expert,4,0.329328787758857,0.266036148071562
Control 1 (Spatial),No-V1,Expert,5,0.342901830270466,0.114531662273174
Control 1 (Spatial),No-CA1,Naive,1,0.383337458668663,0.175118122580336
Control 1 (Spatial),No-CA1,Naive,2,0.299076620251103,0.0712605947730451
Control 1 (Spatial),No-CA1,Naive,3,0.339266859155792,0.118297518889927
Control 1 (Spatial),No-CA1,Naive,4,0.337129743281063,0.171911753610412
Control 1 (Spatial),No-CA1,Naive,5,0.352971276501777,0.101120570892557
Control 1 (Spatial),No-CA1,Intermediate,1,0.328826402324638,0.178475668137696
Control 1 (Spatial),No-CA1,Intermediate,2,0.23357600930372,0.0590218065220833
Control 1 (Spatial),No-CA1,Intermediate,3,0.295543943175063,0.128516291407446
Control 1 (Spatial),No-CA1,Intermediate,4,0.349770160256703,0.224412617672271
Control 1 (Spatial),No-CA1,Intermediate,5,0.323437455999389,0.126147491810908
Control 1 (Spatial),No-CA1,Expert,1,0.329899590172939,0.179692510260064
