Mouse ID,ACC Start,ACC End,Striatum Start,Striatum End,DMS Start,DMS End,DLS Start,DLS End
407,,,0,1800,1300,1800,0,1100
513,2500,3100,0,1500,1000,1500,0,1300
515,2100,2900,0,1100,600,1100,0,400
817,2700,3100,0,1300,700,1300,0,500
1205,2000,2500,0,1400,900,1400,0,700
