Mouse ID,ACC Start,ACC End,Striatum Start,Striatum End,DMS Start,DMS End,DLS Start,DLS End
316,2500,3550,0,2200,1700,2200,0,1500
317,2800,3700,0,900,400,900,0,200
624,2400,2900,0,1700,1200,1700,0,1000
1011,3000,3400,0,1000,500,1000,0,300
1103,2900,3400,850,1050,850,1050,,
1107_M1,2100,2900,0,500,0,500,,
1107_M2,2400,2600,0,1380,880,1380,0,680
